Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
85787,11/2/26 19:40:05,0.000,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.317,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.704,112578,309979.22,37.00,2500.00,#N/A
85792,11/2/26 19:40:07,0.033,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.250,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.704,112576,309956.79,37.00,2500.00,#N/A
85800,11/2/26 19:40:09,0.067,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.154,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.708,112582,309943.89,37.00,2500.00,#N/A
85811,11/2/26 19:40:11,0.100,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.105,μmol/L,23.498,°C,1011.000,hPa,Humid,0,0,,0,25.709,112578,309948.03,37.00,2500.00,#N/A
85816,11/2/26 19:40:13,0.133,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.138,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.709,112573,309938.97,37.00,2500.00,#N/A
85824,11/2/26 19:40:15,0.167,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.169,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.707,112573,309932.74,37.00,2500.00,#N/A
85832,11/2/26 19:40:17,0.200,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.138,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.709,112582,309932.92,37.00,2500.00,#N/A
85840,11/2/26 19:40:19,0.233,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.272,μmol/L,23.468,°C,1011.000,hPa,Humid,0,0,,0,25.709,112581,309929.20,37.00,2500.00,#N/A
85848,11/2/26 19:40:21,0.266,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.156,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.710,112595,309931.12,37.00,2500.00,#N/A
85856,11/2/26 19:40:23,0.300,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.238,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.709,112592,309930.61,37.00,2500.00,#N/A
85864,11/2/26 19:40:25,0.333,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.142,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.713,112596,309934.95,37.00,2500.00,#N/A
85872,11/2/26 19:40:27,0.366,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.189,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.710,112595,309938.42,37.00,2500.00,#N/A
85880,11/2/26 19:40:29,0.400,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.156,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.710,112607,309947.33,37.00,2500.00,#N/A
85888,11/2/26 19:40:31,0.433,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.220,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.708,112609,309944.93,37.00,2500.00,#N/A
85896,11/2/26 19:40:33,0.467,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.189,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.710,112607,309957.49,37.00,2500.00,#N/A
85904,11/2/26 19:40:35,0.499,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.254,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.708,112614,309953.41,37.00,2500.00,#N/A
85912,11/2/26 19:40:37,0.533,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.107,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.711,112623,309959.38,37.00,2500.00,#N/A
85920,11/2/26 19:40:39,0.567,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.205,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.709,112622,309956.06,37.00,2500.00,#N/A
85928,11/2/26 19:40:41,0.600,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.056,μmol/L,23.504,°C,1011.000,hPa,Humid,0,0,,0,25.710,112633,309968.43,37.00,2500.00,#N/A
85936,11/2/26 19:40:43,0.633,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.176,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.713,112619,309981.10,37.00,2500.00,#N/A
85944,11/2/26 19:40:45,0.666,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.205,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.709,112621,309965.57,37.00,2500.00,#N/A
85952,11/2/26 19:40:47,0.700,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.207,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.711,112619,309975.55,37.00,2500.00,#N/A
85960,11/2/26 19:40:49,0.733,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.171,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.709,112622,309972.51,37.00,2500.00,#N/A
85968,11/2/26 19:40:51,0.766,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.256,μmol/L,23.468,°C,1011.000,hPa,Humid,0,0,,0,25.710,112623,309979.02,37.00,2500.00,#N/A
85976,11/2/26 19:40:53,0.800,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.174,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.711,112637,309982.63,37.00,2500.00,#N/A
85984,11/2/26 19:40:55,0.833,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.158,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.712,112641,309982.30,37.00,2500.00,#N/A
85992,11/2/26 19:40:57,0.867,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.305,μmol/L,23.462,°C,1011.000,hPa,Humid,0,0,,0,25.709,112633,309995.75,37.00,2500.00,#N/A
86000,11/2/26 19:40:59,0.899,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.218,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.706,112641,309984.53,37.00,2500.00,#N/A
86008,11/2/26 19:41:01,0.933,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.223,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.710,112649,310006.98,37.00,2500.00,#N/A
86016,11/2/26 19:41:03,0.967,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.252,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.706,112647,309983.99,37.00,2500.00,#N/A
86024,11/2/26 19:41:05,1.000,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.205,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.709,112660,309997.90,37.00,2500.00,#N/A
86032,11/2/26 19:41:07,1.033,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.122,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.710,112660,310007.29,37.00,2500.00,#N/A
86040,11/2/26 19:41:09,1.066,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.201,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.705,112658,309993.92,37.00,2500.00,#N/A
86048,11/2/26 19:41:11,1.100,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.187,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.708,112656,310008.67,37.00,2500.00,#N/A
86056,11/2/26 19:41:13,1.133,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.236,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.707,112653,309997.49,37.00,2500.00,#N/A
86064,11/2/26 19:41:15,1.166,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.254,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.708,112656,310005.70,37.00,2500.00,#N/A
86072,11/2/26 19:41:17,1.200,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.236,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.707,112664,310012.03,37.00,2500.00,#N/A
86080,11/2/26 19:41:19,1.233,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.220,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.708,112660,310006.81,37.00,2500.00,#N/A
86088,11/2/26 19:41:21,1.267,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.238,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.709,112668,310020.67,37.00,2500.00,#N/A
86096,11/2/26 19:41:23,1.299,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.270,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.707,112656,310006.00,37.00,2500.00,#N/A
86104,11/2/26 19:41:25,1.333,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.220,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.708,112664,310018.59,37.00,2500.00,#N/A
86116,11/2/26 19:41:27,1.367,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.150,μmol/L,23.504,°C,1011.000,hPa,Humid,0,0,,0,25.704,112672,310026.40,37.00,2500.00,#N/A
86120,11/2/26 19:41:29,1.400,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.305,μmol/L,23.462,°C,1011.000,hPa,Humid,0,0,,0,25.709,112669,310028.69,37.00,2500.00,#N/A
86128,11/2/26 19:41:31,1.433,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.201,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.705,112675,310040.54,37.00,2500.00,#N/A
86136,11/2/26 19:41:33,1.466,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.171,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.709,112673,310030.38,37.00,2500.00,#N/A
86144,11/2/26 19:41:35,1.500,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.205,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.709,112681,310029.71,37.00,2500.00,#N/A
86152,11/2/26 19:41:37,1.533,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.169,μmol/L,23.492,°C,1011.000,hPa,Humid,0,0,,0,25.707,112673,310041.59,37.00,2500.00,#N/A
86160,11/2/26 19:41:39,1.567,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.314,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.702,112676,310045.04,37.00,2500.00,#N/A
86168,11/2/26 19:41:41,1.599,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.218,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.706,112682,310043.99,37.00,2500.00,#N/A
86176,11/2/26 19:41:43,1.633,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.270,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.707,112688,310056.10,37.00,2500.00,#N/A
86184,11/2/26 19:41:45,1.667,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.381,μmol/L,23.468,°C,1011.000,hPa,Humid,0,0,,0,25.702,112692,310060.44,37.00,2500.00,#N/A
86192,11/2/26 19:41:47,1.700,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.299,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.703,112694,310044.87,37.00,2500.00,#N/A
86200,11/2/26 19:41:49,1.733,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.334,μmol/L,23.468,°C,1011.000,hPa,Humid,0,0,,0,25.705,112689,310063.68,37.00,2500.00,#N/A
86212,11/2/26 19:41:51,1.767,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.366,μmol/L,23.468,°C,1011.000,hPa,Humid,0,0,,0,25.703,112697,310067.09,37.00,2500.00,#N/A
86216,11/2/26 19:41:53,1.800,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.348,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.702,112695,310073.20,37.00,2500.00,#N/A
86224,11/2/26 19:41:55,1.833,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.348,μmol/L,23.474,°C,1011.000,hPa,Humid,0,0,,0,25.702,112695,310062.49,37.00,2500.00,#N/A
86232,11/2/26 19:41:57,1.866,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.299,μmol/L,23.480,°C,1011.000,hPa,Humid,0,0,,0,25.703,112701,310080.87,37.00,2500.00,#N/A
86240,11/2/26 19:41:59,1.900,OXY_CH7 (PSt7-10),10/2/26 18:06:53,BECORAL,181.234,μmol/L,23.486,°C,1011.000,hPa,Humid,0,0,,0,25.705,112700,310069.59,37.00,2500.00,#N/A
