Run,Chamber,Light_Level,Light_Value,Date,Start.time,Stop.time,Light_Percent
2,1,0,0,20260215,17:39,17:54,
2,1,1,37,20260215,17:54,18:13,
2,1,2,103,20260215,18:15,18:31,
2,1,3,180,20260215,18:31,18:45,
2,1,4,415,20260215,18:48,19:02,
2,1,5,600,20260215,19:02,19:18,
2,1,6,745,20260215,19:18,19:37,
2,1,7,858,20260215,19:37,19:52,
2,1,8,1010,20260215,19:52,20:07,
2,1,9,1150,20260215,20:07,20:23,
2,1,10,2800,20260215,20:27,20:45,
2,2,0,0,20260215,17:39,17:54,
2,2,1,37,20260215,17:54,18:13,
2,2,2,103,20260215,18:15,18:31,
2,2,3,180,20260215,18:31,18:45,
2,2,4,415,20260215,18:48,19:02,
2,2,5,600,20260215,19:02,19:18,
2,2,6,745,20260215,19:18,19:37,
2,2,7,858,20260215,19:37,19:52,
2,2,8,1010,20260215,19:52,20:07,
2,2,9,1150,20260215,20:07,20:23,
2,2,10,2800,20260215,20:27,20:45,
2,3,0,0,20260215,17:39,17:54,
2,3,1,37,20260215,17:54,18:13,
2,3,2,103,20260215,18:15,18:31,
2,3,3,180,20260215,18:31,18:45,
2,3,4,415,20260215,18:48,19:02,
2,3,5,600,20260215,19:02,19:18,
2,3,6,745,20260215,19:18,19:37,
2,3,7,858,20260215,19:37,19:52,
2,3,8,1010,20260215,19:52,20:07,
2,3,9,1150,20260215,20:07,20:23,
2,3,10,2800,20260215,20:27,20:45,
2,11,0,0,20260215,17:39,17:54,
2,11,1,37,20260215,17:54,18:13,
2,11,2,103,20260215,18:15,18:31,
2,11,3,180,20260215,18:31,18:45,
2,11,4,415,20260215,18:48,19:02,
2,11,5,600,20260215,19:02,19:18,
2,11,6,745,20260215,19:18,19:37,
2,11,7,858,20260215,19:37,19:52,
2,11,8,1010,20260215,19:52,20:07,
2,11,9,1150,20260215,20:07,20:23,
2,11,10,2800,20260215,20:27,20:45,
2,12,0,0,20260215,17:39,17:54,
2,12,1,37,20260215,17:54,18:13,
2,12,2,103,20260215,18:15,18:31,
2,12,3,180,20260215,18:31,18:45,
2,12,4,415,20260215,18:48,19:02,
2,12,5,600,20260215,19:02,19:18,
2,12,6,745,20260215,19:18,19:37,
2,12,7,858,20260215,19:37,19:52,
2,12,8,1010,20260215,19:52,20:07,
2,12,9,1150,20260215,20:07,20:23,
2,12,10,2800,20260215,20:27,20:45,
2,13,0,0,20260215,17:39,17:54,
2,13,1,37,20260215,17:54,18:13,
2,13,2,103,20260215,18:15,18:31,
2,13,3,180,20260215,18:31,18:45,
2,13,4,415,20260215,18:48,19:02,
2,13,5,600,20260215,19:02,19:18,
2,13,6,745,20260215,19:18,19:37,
2,13,7,858,20260215,19:37,19:52,
2,13,8,1010,20260215,19:52,20:07,
2,13,9,1150,20260215,20:07,20:23,
2,13,10,2800,20260215,20:27,20:45,
2,8,0,0,20260215,17:39,17:54,
2,8,1,37,20260215,17:54,18:13,
2,8,2,103,20260215,18:15,18:31,
2,8,3,180,20260215,18:31,18:45,
2,8,4,415,20260215,18:48,19:02,
2,8,5,600,20260215,19:02,19:18,
2,8,6,745,20260215,19:18,19:37,
2,8,7,858,20260215,19:37,19:52,
2,8,8,1010,20260215,19:52,20:07,
2,8,9,1150,20260215,20:07,20:23,
2,8,10,2800,20260215,20:27,20:45,
