Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
215003,15/2/26 17:39:54,0.000,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,224.114,μmol/L,24.232,°C,1009.000,hPa,Humid,0,1,,0,24.291,104256,308883.00,63.74,2500.00,#N/A
215011,15/2/26 17:39:56,0.033,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.876,μmol/L,24.262,°C,1009.000,hPa,Humid,0,1,,0,24.294,104247,308861.52,63.74,2500.00,#N/A
215019,15/2/26 17:39:58,0.067,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.737,μmol/L,24.262,°C,1009.000,hPa,Humid,0,1,,0,24.301,104228,308849.13,63.74,2500.00,#N/A
215027,15/2/26 17:40:00,0.100,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.904,μmol/L,24.244,°C,1009.000,hPa,Humid,0,1,,0,24.298,104223,308849.21,63.74,2500.00,#N/A
215035,15/2/26 17:40:02,0.134,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.804,μmol/L,24.244,°C,1009.000,hPa,Humid,0,1,,0,24.303,104223,308848.16,63.74,2500.00,#N/A
215043,15/2/26 17:40:04,0.167,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.729,μmol/L,24.250,°C,1009.000,hPa,Humid,0,1,,0,24.305,104225,308824.71,63.74,2500.00,#N/A
215051,15/2/26 17:40:06,0.200,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.709,μmol/L,24.250,°C,1009.000,hPa,Humid,0,1,,0,24.306,104233,308842.46,63.74,2500.00,#N/A
215059,15/2/26 17:40:08,0.233,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.594,μmol/L,24.256,°C,1009.000,hPa,Humid,0,1,,0,24.310,104236,308824.73,63.74,2500.00,#N/A
215067,15/2/26 17:40:10,0.266,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.646,μmol/L,24.244,°C,1009.000,hPa,Humid,0,1,,0,24.311,104235,308838.11,63.74,2500.00,#N/A
215075,15/2/26 17:40:12,0.300,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.515,μmol/L,24.256,°C,1009.000,hPa,Humid,0,1,,0,24.314,104252,308822.07,63.74,2500.00,#N/A
215083,15/2/26 17:40:14,0.333,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.535,μmol/L,24.256,°C,1009.000,hPa,Humid,0,1,,0,24.313,104258,308823.25,63.74,2500.00,#N/A
215091,15/2/26 17:40:16,0.366,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.456,μmol/L,24.256,°C,1009.000,hPa,Humid,0,1,,0,24.317,104265,308816.39,63.74,2500.00,#N/A
215099,15/2/26 17:40:18,0.400,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.404,μmol/L,24.238,°C,1009.000,hPa,Humid,0,1,,0,24.325,104283,308825.90,63.74,2500.00,#N/A
215107,15/2/26 17:40:20,0.433,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.357,μmol/L,24.256,°C,1009.000,hPa,Humid,0,1,,0,24.322,104283,308819.66,63.74,2500.00,#N/A
215115,15/2/26 17:40:22,0.467,OXY_CH6 (PSt7-10),15/2/26 16:42:41,BECORAL,223.293,μmol/L,24.250,°C,1009.000,hPa,Humid,0,1,,0,24.327,104293,308800.98,63.74,2500.00,#N/A
