Tube.ID,Tube lable ,Date,Location,colony_id,Species,Fixative,Goal,Process,TREATMENT,Note,Slury.vol.ml,,
1,1,20261102,Samara,POC_1,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,T0,,,,
2,1,20261102,Samara,POC_1,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,T0,,,,
3,2,20261102,Samara,POC_2,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
4,2,20261102,Samara,POC_2,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
5,3,20261102,Samara,POC_3,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
6,3,20261102,Samara,POC_3,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
7,4,20261102,Samara,POC_4,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
8,4,20261102,Samara,POC_4,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
9,5,20261102,Samara,POC_5,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
10,5,20261102,Samara,POC_5,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
11,6,20261102,Samara,POC_6,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
12,6,20261102,Samara,POC_6,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
13,7,20261102,Samara,POC_7,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
14,7,20261102,Samara,POC_7,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
15,8,20261102,Samara,POC_8,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
16,8,20261102,Samara,POC_8,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
17,9,20261102,Samara,POC_9,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
18,9,20261102,Samara,POC_9,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
19,10,20261102,Samara,POC_10,Pocillopora capitata,500um RNA/DNA shield,Transcriptom,,,,,,
20,10,20261102,Samara,POC_10,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
21,11,20261102,Samara,POR_11,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
22,11,20261102,Samara,POR_11,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
23,12,20261102,Samara,POR_12,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
24,12,20261102,Samara,POR_12,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
25,13,20261102,Samara,POR_13,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
26,13,20261102,Samara,POR_13,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
27,14,20261102,Samara,POR_14,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
28,14,20261102,Samara,POR_14,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
29,15,20261102,Samara,POR_15,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
30,15,20261102,Samara,POR_15,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
31,16,20261102,Samara,POR_16,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
32,16,20261102,Samara,POR_16,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
33,17,20261102,Samara,POR_17,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
34,17,20261102,Samara,POR_17,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
35,18,20261102,Samara,POR_18,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
36,18,20261102,Samara,POR_18,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
37,19,20261102,Samara,POR_19,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
38,19,20261102,Samara,POR_19,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
39,20,20261102,Samara,POR_20,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
40,20,20261102,Samara,POR_20,Porites lobata,500um RNA/DNA shield,Transcriptom,,,,,,
41,21,20261102,Samara,POC_1,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
42,21,20261102,Samara,POC_1,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
43,22,20261102,Samara,POC_2,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
44,22,20261102,Samara,POC_2,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
45,23,20261102,Samara,POC_3,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
46,23,20261102,Samara,POC_3,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
47,24,20261102,Samara,POC_4,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
48,24,20261102,Samara,POC_4,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
49,25,20261102,Samara,POC_5,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
50,25,20261102,Samara,POC_5,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
51,26,20261102,Samara,POC_6,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
52,26,20261102,Samara,POC_6,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
53,27,20261102,Samara,POC_7,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
54,27,20261102,Samara,POC_7,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
55,28,20261102,Samara,POC_8,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
56,28,20261102,Samara,POC_8,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
57,29,20261102,Samara,POC_9,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
58,29,20261102,Samara,POC_9,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
59,30,20261102,Samara,POC_10,Pocillopora capitata,500um RNA/DNA shield,16S,,,,,,
60,30,20261102,Samara,POC_10,Porites lobata,500um RNA/DNA shield,16S,,,,,,
