7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1770909720, +3.23, +27.836,  +666.9, +1180.0,  -460.0,  +404.0
1770910320, +3.23, +27.836,  +654.5, +1184.0,  -474.0,  +332.0
1770910920, +3.23, +27.836,  +661.3, +1187.0,  -448.0,  +408.0
1770911520, +3.23, +27.844,  +710.9, +1198.0,  -464.0,  +300.0
1770912120, +3.23, +27.853,  +706.3, +1190.0,  -462.0,  +307.0
1770912720, +3.23, +27.861,  +801.2, +1200.0,  -452.0,  +324.0
1770913320, +3.23, +27.869,  +942.9, +1086.0,  -477.0,  +454.0
1770913920, +3.23, +27.861,  +986.7, +1193.0,  -448.0,  +444.0
1770914520, +3.23, +27.885,  +209.9, +1184.0,  -472.0,  +232.0
1770915120, +3.23, +27.894,  +955.5, +1192.0,  -474.0,  +312.0
1770915720, +3.23, +27.820,  +930.1, +1184.0,  -472.0,  +328.0
1770916320, +3.23, +27.820,  +848.0, +1188.0,  -472.0,  +312.0
1770916920, +3.23, +27.853,  +972.2, +1188.0,  -461.0,  +392.0
1770917520, +3.23, +27.918,  +241.5, +1190.0,  -480.0,  +312.0
1770918120, +3.23, +27.968,  +945.9, +1171.0,  -464.0,  +368.0
1770918720, +3.23, +27.976,  +248.1, +1187.0,  -448.0,  +376.0
1770919320, +3.23, +27.984,  +625.2, +1180.0,  -472.0,  +322.0
1770919920, +3.23, +27.984,  +827.8, +1184.0,  -480.0,  +308.0
1770920520, +3.23, +27.976,  +827.9, +1182.0,  -452.0,  +360.0
1770921120, +3.22, +27.959,  +854.6, +1190.0,  -456.0,  +362.0
1770921720, +3.23, +27.976,  +876.6, +1196.0,  -456.0,  +336.0
1770922320, +3.23, +28.025,  +284.6, +1174.0,  -448.0,  +460.0
1770922920, +3.23, +28.033,  +242.4, +1188.0,  -464.0,  +300.0
1770923520, +3.23, +28.058,  +804.0, +1155.0,  -480.0,  +360.0
1770924120, +3.23, +28.058,  +222.0, +1182.0,  -484.0,  +352.0
1770924720, +3.22, +28.074,  +286.6, +1184.0,  -464.0,  +316.0
1770925320, +3.23, +28.083,  +166.9, +1187.0,  -458.0,  +318.0
1770925920, +3.22, +28.107,  +350.1, +1176.0,  -472.0,  +320.0
1770926520, +3.22, +28.156,  +616.5, +1177.0,  -500.0,  +312.0
1770927120, +3.22, +28.214,  +259.5, +1177.0,  -468.0,  +328.0
1770927720, +3.22, +28.279,  +587.7, +1176.0,  -464.0,  +432.0
1770928320, +3.22, +28.329,  +252.1, +1151.0,  -496.0,  +409.0
1770928920, +3.22, +28.337,  +583.1, +1164.0,  -484.0,  +336.0
1770929520, +3.22, +28.394,  +488.1, +1153.0,  -484.0,  +415.0
1770930120, +3.22, +28.370,  +484.0, +1155.0,  -472.0,  +484.0
1770930720, +3.22, +28.378,  +458.0, +1171.0,  -464.0,  +403.0
1770931320, +3.22, +28.353,  +244.9, +1167.0,  -476.0,  +440.0
1770931920, +3.22, +28.320,  +158.4, +1180.0,  -480.0,  +384.0
1770932520, +3.22, +28.312,  +351.4, +1153.0,  -460.0,  +476.0
1770933120, +3.22, +28.361,  +148.6, +1168.0,  -472.0,  +384.0
1770933720, +3.22, +28.386,  +138.2, +1166.0,  -448.0,  +504.0
