7530-489662
OS REV: 1.08 Sensor Cal: 1737619200 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1771169700, +3.51, +25.786,  +620.1, +1310.0,  +128.0,  +198.0
1771170300, +3.51, +25.803,  +620.1, +1239.0,   +99.0,  +268.0
1771170900, +3.51, +25.828,  +682.4, +1233.0,  +100.0,  +264.0
1771171500, +3.51, +25.861,  +680.5, +1257.0,  +104.0,  +262.0
1771172100, +3.51, +25.877,  +683.3, +1235.0,   +99.0,  +268.0
1771172700, +3.51, +25.894,  +707.6, +1240.0,   +99.0,  +268.0
1771173300, +3.51, +25.911,  +710.4, +1239.0,  +100.0,  +268.0
1771173900, +3.51, +25.944,  +730.2, +1233.0,   +96.0,  +264.0
1771174500, +3.51, +26.002,  +758.2, +1233.0,   +99.0,  +268.0
1771175100, +3.51, +26.027,  +780.9, +1235.0,  +102.0,  +268.0
1771175700, +3.51, +26.093,    +0.2,  -768.0,  +920.0,  -160.0
1771176300, +3.51, +26.110,    +0.3, -1220.0,  +505.0,  +225.0
1771176900, +3.51, +26.143,    +0.1,  -864.0, +1024.0,   -20.0
1771177500, +3.51, +26.193,    +0.0, -1024.0,  +512.0,  -360.0
1771178100, +3.51, +26.267,    +0.3,  -100.0, +1395.0,  +168.0
1771178700, +3.51, +26.060,    +0.0,  -100.0, +1404.0,  +160.0
1771179300, +3.51, +25.803,    -0.2,  -114.0, +1415.0,  +164.0
1771179900, +3.51, +27.589,    +0.1,  -392.0,  -925.0, +1222.0
1771180500, +3.51, +29.089,    -0.3,  -424.0,  -954.0, +1212.0
1771181100, +3.51, +29.787,    +0.0,  -392.0,  -944.0, +1183.0
1771181700, +3.51, +30.134,    +0.3,  -404.0,  -928.0, +1198.0
1771182300, +3.51, +30.231,    +0.3,  -122.0, -1424.0,  +582.0
1771182900, +3.51, +30.368,    +0.3,  -104.0,  -976.0, +1248.0
1771183500, +3.51, +30.480,    +0.3,   -64.0,  -844.0, +1203.0
1771184100, +3.52, +30.489,    +0.1,   -72.0,  -976.0, +1240.0
1771184700, +3.52, +30.424,    +0.2,   -68.0,  +832.0, +1265.0
1771185300, +3.52, +30.529,    -0.1,   -24.0,  +524.0, +1451.0
1771185900, +3.52, +30.777,    +0.4,  -240.0,   -12.0, +1475.0
1771186500, +3.52, +31.184,    +0.4,  +220.0,  +536.0, +1643.0
1771187100, +3.52, +31.518,    +0.2,  -304.0,  +440.0, +1576.0
1771187700, +3.52, +31.676,    -0.2,  -141.0,  +526.0, +1319.0
1771188300, +3.52, +31.589,    -0.1,  -112.0,  +830.0,  -528.0
1771188900, +3.52, +31.391,    +0.3,   -40.0,  -448.0,  -736.0
1771189500, +3.53, +27.992,    -0.0,   -50.0,  -433.0,  -672.0
1771190100, +3.53, +25.587,    +0.3,   -32.0,  -436.0,  -805.0
1771190700, +3.53, +24.513,    +0.2,   -36.0,  -452.0,  -740.0
1771191300, +3.52, +24.046,    +0.2,    +6.0,  -916.0,  -601.0
1771191900, +3.52, +23.479,    -0.2,    +0.0,  -732.0,  -720.0
1771192500, +3.52, +23.061,    +0.0,   -25.0,  -729.0,  -576.0
1771193100, +3.52, +22.693,    +0.3,   -15.0,  -748.0, +1360.0
