#--- Experiment --------------------------------------------------------------------------
#TPC-30-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA6-533-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.672	52.861	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.334	24.683	45.026	27.066	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
12-02-2026	15:41:29.485	0.093	139.804	26.081	200	0	OK	12-02-2026	15:41:29.485	0.093	30.481	OK	12-02-2026	15:41:29.485	0.093	1008	OK
12-02-2026	15:41:30.500	1.108	139.777	26.084	200	0	OK	12-02-2026	15:41:30.500	1.108	30.478	OK	12-02-2026	15:41:30.500	1.108	1008	OK
12-02-2026	15:41:31.480	2.088	139.818	26.082	200	-1	OK	12-02-2026	15:41:31.480	2.088	30.473	OK	12-02-2026	15:41:31.480	2.088	1008	OK
12-02-2026	15:41:32.480	3.088	139.831	26.082	200	-1	OK	12-02-2026	15:41:32.480	3.088	30.469	OK	12-02-2026	15:41:32.480	3.088	1008	OK
12-02-2026	15:41:33.480	4.088	139.912	26.077	200	-1	OK	12-02-2026	15:41:33.480	4.088	30.463	OK	12-02-2026	15:41:33.480	4.088	1008	OK
12-02-2026	15:41:34.481	5.089	139.919	26.078	200	-1	OK	12-02-2026	15:41:34.481	5.089	30.457	OK	12-02-2026	15:41:34.481	5.089	1008	OK
12-02-2026	15:41:35.482	6.090	139.960	26.076	200	0	OK	12-02-2026	15:41:35.482	6.090	30.452	OK	12-02-2026	15:41:35.482	6.090	1008	OK
12-02-2026	15:41:36.483	7.091	140.022	26.072	200	0	OK	12-02-2026	15:41:36.483	7.091	30.448	OK	12-02-2026	15:41:36.483	7.091	1008	OK
12-02-2026	15:41:37.481	8.089	139.971	26.077	200	0	OK	12-02-2026	15:41:37.481	8.089	30.445	OK	12-02-2026	15:41:37.481	8.089	1008	OK
12-02-2026	15:41:38.481	9.089	139.997	26.076	200	0	OK	12-02-2026	15:41:38.481	9.089	30.441	OK	12-02-2026	15:41:38.481	9.089	1008	OK
12-02-2026	15:41:39.482	10.090	140.034	26.074	200	0	OK	12-02-2026	15:41:39.482	10.090	30.437	OK	12-02-2026	15:41:39.482	10.090	1008	OK
12-02-2026	15:41:40.481	11.089	139.963	26.081	200	0	OK	12-02-2026	15:41:40.481	11.089	30.433	OK	12-02-2026	15:41:40.481	11.089	1008	OK
12-02-2026	15:41:41.485	12.093	140.094	26.071	200	0	OK	12-02-2026	15:41:41.485	12.093	30.430	OK	12-02-2026	15:41:41.485	12.093	1008	OK
12-02-2026	15:41:42.482	13.090	139.981	26.082	200	0	OK	12-02-2026	15:41:42.482	13.090	30.424	OK	12-02-2026	15:41:42.482	13.090	1008	OK
12-02-2026	15:41:43.482	14.090	140.015	26.080	200	0	OK	12-02-2026	15:41:43.482	14.090	30.421	OK	12-02-2026	15:41:43.482	14.090	1008	OK
