#--- Experiment --------------------------------------------------------------------------
#TPC-28-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.1] - Oxygen Sensor - XA7-531-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.757	53.178	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1011.273	25.254	47.596	27.051	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (µmol/L) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Sample Temp. (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]
12-02-2026	14:15:54.429	0.600	155.013	25.745	384	0	OK	12-02-2026	14:15:54.429	0.600	28.542	OK	12-02-2026	14:15:54.429	0.600	1010	OK
12-02-2026	14:15:55.428	1.600	155.006	25.745	385	0	OK	12-02-2026	14:15:55.428	1.600	28.544	OK	12-02-2026	14:15:55.428	1.600	1010	OK
12-02-2026	14:15:56.430	2.601	155.035	25.743	385	0	OK	12-02-2026	14:15:56.430	2.601	28.543	OK	12-02-2026	14:15:56.430	2.601	1010	OK
12-02-2026	14:15:57.428	3.600	155.087	25.739	384	0	OK	12-02-2026	14:15:57.428	3.600	28.543	OK	12-02-2026	14:15:57.428	3.600	1010	OK
12-02-2026	14:15:58.428	4.600	155.037	25.742	384	0	OK	12-02-2026	14:15:58.428	4.600	28.546	OK	12-02-2026	14:15:58.428	4.600	1010	OK
12-02-2026	14:15:59.428	5.600	155.063	25.740	384	0	OK	12-02-2026	14:15:59.428	5.600	28.546	OK	12-02-2026	14:15:59.428	5.600	1010	OK
12-02-2026	14:16:00.428	6.600	155.048	25.740	384	0	OK	12-02-2026	14:16:00.428	6.600	28.550	OK	12-02-2026	14:16:00.428	6.600	1010	OK
12-02-2026	14:16:01.429	7.600	155.023	25.742	385	0	OK	12-02-2026	14:16:01.429	7.600	28.550	OK	12-02-2026	14:16:01.429	7.600	1010	OK
12-02-2026	14:16:02.428	8.600	155.054	25.739	384	1	OK	12-02-2026	14:16:02.428	8.600	28.552	OK	12-02-2026	14:16:02.428	8.600	1010	OK
12-02-2026	14:16:03.429	9.601	155.006	25.743	384	0	OK	12-02-2026	14:16:03.429	9.601	28.551	OK	12-02-2026	14:16:03.429	9.601	1010	OK
12-02-2026	14:16:04.430	10.602	155.006	25.743	384	1	OK	12-02-2026	14:16:04.430	10.602	28.551	OK	12-02-2026	14:16:04.430	10.602	1010	OK
12-02-2026	14:16:05.431	11.602	154.980	25.745	384	1	OK	12-02-2026	14:16:05.431	11.602	28.551	OK	12-02-2026	14:16:05.431	11.602	1010	OK
12-02-2026	14:16:06.431	12.602	155.071	25.738	384	0	OK	12-02-2026	14:16:06.431	12.602	28.551	OK	12-02-2026	14:16:06.431	12.602	1010	OK
12-02-2026	14:16:07.430	13.602	155.024	25.741	384	1	OK	12-02-2026	14:16:07.430	13.602	28.553	OK	12-02-2026	14:16:07.430	13.602	1010	OK
12-02-2026	14:16:08.442	14.614	155.032	25.741	384	0	OK	12-02-2026	14:16:08.442	14.614	28.551	OK	12-02-2026	14:16:08.442	14.614	1010	OK
12-02-2026	14:16:09.431	15.603	155.006	25.743	384	1	OK	12-02-2026	14:16:09.431	15.603	28.551	OK	12-02-2026	14:16:09.431	15.603	1010	OK
12-02-2026	14:16:10.430	16.601	155.135	25.733	384	1	OK	12-02-2026	14:16:10.430	16.601	28.551	OK	12-02-2026	14:16:10.430	16.601	1010	OK
12-02-2026	14:16:11.431	17.603	155.052	25.740	384	1	OK	12-02-2026	14:16:11.431	17.603	28.549	OK	12-02-2026	14:16:11.431	17.603	1010	OK
12-02-2026	14:16:12.430	18.602	155.094	25.737	384	1	OK	12-02-2026	14:16:12.430	18.602	28.548	OK	12-02-2026	14:16:12.430	18.602	1010	OK
12-02-2026	14:16:13.431	19.602	155.214	25.728	384	0	OK	12-02-2026	14:16:13.431	19.602	28.547	OK	12-02-2026	14:16:13.431	19.602	1010	OK
12-02-2026	14:16:14.431	20.603	155.244	25.726	384	0	OK	12-02-2026	14:16:14.431	20.603	28.546	OK	12-02-2026	14:16:14.431	20.603	1010	OK
12-02-2026	14:16:15.432	21.604	155.279	25.723	384	0	OK	12-02-2026	14:16:15.432	21.604	28.547	OK	12-02-2026	14:16:15.432	21.604	1010	OK
12-02-2026	14:16:16.433	22.604	155.303	25.722	384	1	OK	12-02-2026	14:16:16.433	22.604	28.544	OK	12-02-2026	14:16:16.433	22.604	1010	OK
12-02-2026	14:16:17.431	23.602	155.406	25.714	384	0	OK	12-02-2026	14:16:17.431	23.602	28.544	OK	12-02-2026	14:16:17.431	23.602	1010	OK
12-02-2026	14:16:18.431	24.603	155.283	25.723	384	0	OK	12-02-2026	14:16:18.431	24.603	28.546	OK	12-02-2026	14:16:18.431	24.603	1010	OK
12-02-2026	14:16:19.431	25.603	155.231	25.727	384	0	OK	12-02-2026	14:16:19.431	25.603	28.546	OK	12-02-2026	14:16:19.431	25.603	1010	OK
12-02-2026	14:16:20.432	26.604	155.257	25.725	384	0	OK	12-02-2026	14:16:20.432	26.604	28.546	OK	12-02-2026	14:16:20.432	26.604	1010	OK
12-02-2026	14:16:21.432	27.603	155.205	25.729	384	0	OK	12-02-2026	14:16:21.432	27.603	28.546	OK	12-02-2026	14:16:21.432	27.603	1010	OK
12-02-2026	14:16:22.432	28.604	155.425	25.712	384	0	OK	12-02-2026	14:16:22.432	28.604	28.546	OK	12-02-2026	14:16:22.432	28.604	1010	OK
12-02-2026	14:16:23.431	29.603	155.342	25.719	384	0	OK	12-02-2026	14:16:23.431	29.603	28.544	OK	12-02-2026	14:16:23.431	29.603	1010	OK
12-02-2026	14:16:24.431	30.603	155.283	25.723	384	0	OK	12-02-2026	14:16:24.431	30.603	28.546	OK	12-02-2026	14:16:24.431	30.603	1010	OK
12-02-2026	14:16:25.433	31.605	155.314	25.720	384	0	OK	12-02-2026	14:16:25.433	31.605	28.548	OK	12-02-2026	14:16:25.433	31.605	1010	OK
12-02-2026	14:16:26.431	32.603	155.323	25.719	384	0	OK	12-02-2026	14:16:26.431	32.603	28.549	OK	12-02-2026	14:16:26.431	32.603	1010	OK
12-02-2026	14:16:27.432	33.603	155.336	25.718	384	0	OK	12-02-2026	14:16:27.432	33.603	28.549	OK	12-02-2026	14:16:27.432	33.603	1010	OK
12-02-2026	14:16:28.431	34.603	155.344	25.718	384	0	OK	12-02-2026	14:16:28.431	34.603	28.547	OK	12-02-2026	14:16:28.431	34.603	1010	OK
12-02-2026	14:16:29.431	35.602	155.379	25.715	384	1	OK	12-02-2026	14:16:29.431	35.602	28.548	OK	12-02-2026	14:16:29.431	35.602	1010	OK
12-02-2026	14:16:30.432	36.604	155.453	25.709	384	0	OK	12-02-2026	14:16:30.432	36.604	28.549	OK	12-02-2026	14:16:30.432	36.604	1010	OK
12-02-2026	14:16:31.432	37.604	155.475	25.707	384	0	OK	12-02-2026	14:16:31.432	37.604	28.550	OK	12-02-2026	14:16:31.432	37.604	1010	OK
12-02-2026	14:16:32.434	38.605	155.427	25.711	384	0	OK	12-02-2026	14:16:32.434	38.605	28.549	OK	12-02-2026	14:16:32.434	38.605	1010	OK
12-02-2026	14:16:33.434	39.606	155.455	25.708	384	0	OK	12-02-2026	14:16:33.434	39.606	28.552	OK	12-02-2026	14:16:33.434	39.606	1010	OK
12-02-2026	14:16:34.434	40.606	155.446	25.709	384	0	OK	12-02-2026	14:16:34.434	40.606	28.551	OK	12-02-2026	14:16:34.434	40.606	1010	OK
12-02-2026	14:16:35.434	41.606	155.588	25.698	384	0	OK	12-02-2026	14:16:35.434	41.606	28.551	OK	12-02-2026	14:16:35.434	41.606	1010	OK
12-02-2026	14:16:36.434	42.606	155.462	25.708	384	0	OK	12-02-2026	14:16:36.434	42.606	28.550	OK	12-02-2026	14:16:36.434	42.606	1010	OK
12-02-2026	14:16:37.434	43.606	155.534	25.703	384	0	OK	12-02-2026	14:16:37.434	43.606	28.548	OK	12-02-2026	14:16:37.434	43.606	1010	OK
12-02-2026	14:16:38.434	44.606	155.457	25.709	384	0	OK	12-02-2026	14:16:38.434	44.606	28.548	OK	12-02-2026	14:16:38.434	44.606	1010	OK
12-02-2026	14:16:39.436	45.608	155.505	25.705	384	0	OK	12-02-2026	14:16:39.436	45.608	28.549	OK	12-02-2026	14:16:39.436	45.608	1010	OK
12-02-2026	14:16:40.435	46.607	155.446	25.709	384	0	OK	12-02-2026	14:16:40.435	46.607	28.551	OK	12-02-2026	14:16:40.435	46.607	1010	OK
12-02-2026	14:16:41.436	47.608	155.464	25.707	384	0	OK	12-02-2026	14:16:41.436	47.608	28.553	OK	12-02-2026	14:16:41.436	47.608	1010	OK
12-02-2026	14:16:42.436	48.608	155.444	25.708	384	0	OK	12-02-2026	14:16:42.436	48.608	28.555	OK	12-02-2026	14:16:42.436	48.608	1010	OK
12-02-2026	14:16:43.436	49.607	155.350	25.715	384	0	OK	12-02-2026	14:16:43.436	49.607	28.556	OK	12-02-2026	14:16:43.436	49.607	1010	OK
12-02-2026	14:16:44.436	50.608	155.346	25.715	384	0	OK	12-02-2026	14:16:44.436	50.608	28.557	OK	12-02-2026	14:16:44.436	50.608	1010	OK
12-02-2026	14:16:45.436	51.608	155.446	25.707	384	0	OK	12-02-2026	14:16:45.436	51.608	28.558	OK	12-02-2026	14:16:45.436	51.608	1010	OK
12-02-2026	14:16:46.437	52.609	155.278	25.720	384	0	OK	12-02-2026	14:16:46.437	52.609	28.558	OK	12-02-2026	14:16:46.437	52.609	1010	OK
12-02-2026	14:16:47.438	53.610	155.420	25.709	384	0	OK	12-02-2026	14:16:47.438	53.610	28.558	OK	12-02-2026	14:16:47.438	53.610	1010	OK
12-02-2026	14:16:48.438	54.609	155.429	25.708	384	0	OK	12-02-2026	14:16:48.438	54.609	28.559	OK	12-02-2026	14:16:48.438	54.609	1010	OK
12-02-2026	14:16:49.437	55.609	155.435	25.707	384	0	OK	12-02-2026	14:16:49.437	55.609	28.561	OK	12-02-2026	14:16:49.437	55.609	1010	OK
12-02-2026	14:16:50.439	56.611	155.344	25.714	384	0	OK	12-02-2026	14:16:50.439	56.611	28.561	OK	12-02-2026	14:16:50.439	56.611	1010	OK
12-02-2026	14:16:51.449	57.620	155.267	25.720	384	1	OK	12-02-2026	14:16:51.449	57.620	28.561	OK	12-02-2026	14:16:51.449	57.620	1010	OK
12-02-2026	14:16:52.439	58.610	155.463	25.706	384	0	OK	12-02-2026	14:16:52.439	58.610	28.557	OK	12-02-2026	14:16:52.439	58.610	1010	OK
12-02-2026	14:16:53.439	59.611	155.470	25.706	384	0	OK	12-02-2026	14:16:53.439	59.611	28.555	OK	12-02-2026	14:16:53.439	59.611	1010	OK
12-02-2026	14:16:54.439	60.611	155.466	25.706	384	0	OK	12-02-2026	14:16:54.439	60.611	28.556	OK	12-02-2026	14:16:54.439	60.611	1010	OK
12-02-2026	14:16:55.442	61.614	155.457	25.707	384	0	OK	12-02-2026	14:16:55.442	61.614	28.555	OK	12-02-2026	14:16:55.442	61.614	1010	OK
12-02-2026	14:16:56.440	62.611	155.531	25.701	384	0	OK	12-02-2026	14:16:56.440	62.611	28.556	OK	12-02-2026	14:16:56.440	62.611	1010	OK
12-02-2026	14:16:57.439	63.611	155.446	25.707	384	0	OK	12-02-2026	14:16:57.439	63.611	28.558	OK	12-02-2026	14:16:57.439	63.611	1010	OK
12-02-2026	14:16:58.439	64.611	155.394	25.711	384	0	OK	12-02-2026	14:16:58.439	64.611	28.558	OK	12-02-2026	14:16:58.439	64.611	1010	OK
12-02-2026	14:16:59.441	65.613	155.522	25.702	384	0	OK	12-02-2026	14:16:59.441	65.613	28.555	OK	12-02-2026	14:16:59.441	65.613	1010	OK
12-02-2026	14:17:00.440	66.612	155.510	25.704	384	1	OK	12-02-2026	14:17:00.440	66.612	28.551	OK	12-02-2026	14:17:00.440	66.612	1010	OK
12-02-2026	14:17:01.442	67.613	155.566	25.700	384	0	OK	12-02-2026	14:17:01.442	67.613	28.550	OK	12-02-2026	14:17:01.442	67.613	1010	OK
12-02-2026	14:17:02.440	68.612	155.475	25.707	384	1	OK	12-02-2026	14:17:02.440	68.612	28.550	OK	12-02-2026	14:17:02.440	68.612	1010	OK
12-02-2026	14:17:03.441	69.612	155.592	25.698	384	0	OK	12-02-2026	14:17:03.441	69.612	28.550	OK	12-02-2026	14:17:03.441	69.612	1010	OK
12-02-2026	14:17:04.440	70.612	155.538	25.703	384	1	OK	12-02-2026	14:17:04.440	70.612	28.547	OK	12-02-2026	14:17:04.440	70.612	1010	OK
12-02-2026	14:17:05.440	71.611	155.723	25.689	384	1	OK	12-02-2026	14:17:05.440	71.611	28.546	OK	12-02-2026	14:17:05.440	71.611	1010	OK
12-02-2026	14:17:06.440	72.612	155.562	25.702	384	1	OK	12-02-2026	14:17:06.440	72.612	28.544	OK	12-02-2026	14:17:06.440	72.612	1010	OK
