#--- Experiment --------------------------------------------------------------------------
#TPC-32-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - XA6-534-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.600	52.970	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.344	24.678	44.957	27.254	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
13-02-2026	13:35:16.665	0.369	149.735	24.676	187	0	OK	13-02-2026	13:35:16.665	0.369	32.512	OK	13-02-2026	13:35:16.665	0.369	1009	OK
13-02-2026	13:35:17.661	1.365	149.748	24.675	187	0	OK	13-02-2026	13:35:17.661	1.365	32.512	OK	13-02-2026	13:35:17.661	1.365	1009	OK
13-02-2026	13:35:18.660	2.365	149.709	24.678	187	-1	OK	13-02-2026	13:35:18.660	2.365	32.512	OK	13-02-2026	13:35:18.660	2.365	1009	OK
13-02-2026	13:35:19.662	3.366	149.666	24.681	187	-1	OK	13-02-2026	13:35:19.662	3.366	32.513	OK	13-02-2026	13:35:19.662	3.366	1009	OK
13-02-2026	13:35:20.662	4.366	149.568	24.688	187	-1	OK	13-02-2026	13:35:20.662	4.366	32.515	OK	13-02-2026	13:35:20.662	4.366	1009	OK
13-02-2026	13:35:21.662	5.366	149.574	24.687	187	-1	OK	13-02-2026	13:35:21.662	5.366	32.517	OK	13-02-2026	13:35:21.662	5.366	1009	OK
13-02-2026	13:35:22.662	6.366	149.538	24.689	187	0	OK	13-02-2026	13:35:22.662	6.366	32.520	OK	13-02-2026	13:35:22.662	6.366	1009	OK
13-02-2026	13:35:23.662	7.366	149.518	24.690	187	0	OK	13-02-2026	13:35:23.662	7.366	32.522	OK	13-02-2026	13:35:23.662	7.366	1009	OK
13-02-2026	13:35:24.662	8.366	149.491	24.691	187	0	OK	13-02-2026	13:35:24.662	8.366	32.526	OK	13-02-2026	13:35:24.662	8.366	1009	OK
13-02-2026	13:35:25.662	9.366	149.513	24.688	187	-1	OK	13-02-2026	13:35:25.662	9.366	32.531	OK	13-02-2026	13:35:25.662	9.366	1009	OK
13-02-2026	13:35:26.662	10.366	149.434	24.692	187	0	OK	13-02-2026	13:35:26.662	10.366	32.539	OK	13-02-2026	13:35:26.662	10.366	1009	OK
13-02-2026	13:35:27.662	11.366	149.459	24.688	187	0	OK	13-02-2026	13:35:27.662	11.366	32.547	OK	13-02-2026	13:35:27.662	11.366	1009	OK
13-02-2026	13:35:28.663	12.367	149.409	24.690	187	0	OK	13-02-2026	13:35:28.663	12.367	32.554	OK	13-02-2026	13:35:28.663	12.367	1009	OK
13-02-2026	13:35:29.663	13.367	149.287	24.698	187	0	OK	13-02-2026	13:35:29.663	13.367	32.559	OK	13-02-2026	13:35:29.663	13.367	1009	OK
13-02-2026	13:35:30.663	14.367	149.313	24.695	187	0	OK	13-02-2026	13:35:30.663	14.367	32.563	OK	13-02-2026	13:35:30.663	14.367	1009	OK
