#--- Experiment --------------------------------------------------------------------------
#TPC(2)-28-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA6-533-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.408	52.749	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.019	24.144	49.760	24.352	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
16-02-2026	10:40:02.254	0.436	151.410	25.111	190	0	OK	16-02-2026	10:40:02.254	0.436	29.390	OK	16-02-2026	10:40:02.254	0.436	1011	OK
16-02-2026	10:40:03.253	1.435	151.338	25.117	190	0	OK	16-02-2026	10:40:03.253	1.435	29.388	OK	16-02-2026	10:40:03.253	1.435	1011	OK
16-02-2026	10:40:04.255	2.437	151.280	25.122	190	0	OK	16-02-2026	10:40:04.255	2.437	29.386	OK	16-02-2026	10:40:04.255	2.437	1011	OK
16-02-2026	10:40:05.269	3.450	151.231	25.126	190	0	OK	16-02-2026	10:40:05.269	3.450	29.385	OK	16-02-2026	10:40:05.269	3.450	1011	OK
16-02-2026	10:40:06.257	4.438	151.389	25.114	190	0	OK	16-02-2026	10:40:06.257	4.438	29.385	OK	16-02-2026	10:40:06.257	4.438	1011	OK
16-02-2026	10:40:07.258	5.439	151.380	25.115	190	0	OK	16-02-2026	10:40:07.258	5.439	29.384	OK	16-02-2026	10:40:07.258	5.439	1011	OK
16-02-2026	10:40:08.257	6.438	151.389	25.114	190	0	OK	16-02-2026	10:40:08.257	6.438	29.385	OK	16-02-2026	10:40:08.257	6.438	1011	OK
16-02-2026	10:40:09.258	7.439	151.419	25.112	190	0	OK	16-02-2026	10:40:09.258	7.439	29.384	OK	16-02-2026	10:40:09.258	7.439	1011	OK
16-02-2026	10:40:10.258	8.439	151.333	25.118	190	0	OK	16-02-2026	10:40:10.258	8.439	29.386	OK	16-02-2026	10:40:10.258	8.439	1011	OK
16-02-2026	10:40:11.258	9.439	151.340	25.118	190	0	OK	16-02-2026	10:40:11.258	9.439	29.384	OK	16-02-2026	10:40:11.258	9.439	1011	OK
16-02-2026	10:40:12.258	10.440	151.383	25.115	190	0	OK	16-02-2026	10:40:12.258	10.440	29.383	OK	16-02-2026	10:40:12.258	10.440	1011	OK
16-02-2026	10:40:13.258	11.439	151.291	25.122	190	0	OK	16-02-2026	10:40:13.258	11.439	29.383	OK	16-02-2026	10:40:13.258	11.439	1011	OK
16-02-2026	10:40:14.258	12.439	151.391	25.115	190	0	OK	16-02-2026	10:40:14.258	12.439	29.381	OK	16-02-2026	10:40:14.258	12.439	1011	OK
16-02-2026	10:40:15.258	13.440	151.357	25.117	190	0	OK	16-02-2026	10:40:15.258	13.440	29.383	OK	16-02-2026	10:40:15.258	13.440	1011	OK
16-02-2026	10:40:16.260	14.441	151.440	25.111	190	0	OK	16-02-2026	10:40:16.260	14.441	29.382	OK	16-02-2026	10:40:16.260	14.441	1011	OK
16-02-2026	10:40:17.260	15.441	151.313	25.120	190	0	OK	16-02-2026	10:40:17.260	15.441	29.384	OK	16-02-2026	10:40:17.260	15.441	1011	OK
16-02-2026	10:40:18.261	16.442	151.387	25.115	190	0	OK	16-02-2026	10:40:18.261	16.442	29.382	OK	16-02-2026	10:40:18.261	16.442	1011	OK
16-02-2026	10:40:19.260	17.442	151.391	25.115	190	0	OK	16-02-2026	10:40:19.260	17.442	29.381	OK	16-02-2026	10:40:19.260	17.442	1011	OK
16-02-2026	10:40:20.260	18.441	151.321	25.120	190	0	OK	16-02-2026	10:40:20.260	18.441	29.382	OK	16-02-2026	10:40:20.260	18.441	1011	OK
16-02-2026	10:40:21.260	19.441	151.404	25.114	190	0	OK	16-02-2026	10:40:21.260	19.441	29.381	OK	16-02-2026	10:40:21.260	19.441	1011	OK
16-02-2026	10:40:22.260	20.441	151.427	25.112	190	0	OK	16-02-2026	10:40:22.260	20.441	29.382	OK	16-02-2026	10:40:22.260	20.441	1011	OK
16-02-2026	10:40:23.261	21.442	151.321	25.120	190	0	OK	16-02-2026	10:40:23.261	21.442	29.382	OK	16-02-2026	10:40:23.261	21.442	1011	OK
16-02-2026	10:40:24.261	22.443	151.374	25.116	190	0	OK	16-02-2026	10:40:24.261	22.443	29.382	OK	16-02-2026	10:40:24.261	22.443	1011	OK
16-02-2026	10:40:25.261	23.442	151.434	25.112	190	0	OK	16-02-2026	10:40:25.261	23.442	29.380	OK	16-02-2026	10:40:25.261	23.442	1011	OK
16-02-2026	10:40:26.262	24.443	151.481	25.109	190	0	OK	16-02-2026	10:40:26.262	24.443	29.378	OK	16-02-2026	10:40:26.262	24.443	1011	OK
16-02-2026	10:40:27.262	25.443	151.451	25.111	190	0	OK	16-02-2026	10:40:27.262	25.443	29.379	OK	16-02-2026	10:40:27.262	25.443	1011	OK
16-02-2026	10:40:28.262	26.444	151.432	25.113	190	0	OK	16-02-2026	10:40:28.262	26.444	29.377	OK	16-02-2026	10:40:28.262	26.444	1011	OK
16-02-2026	10:40:29.263	27.444	151.362	25.118	190	0	OK	16-02-2026	10:40:29.263	27.444	29.378	OK	16-02-2026	10:40:29.263	27.444	1011	OK
16-02-2026	10:40:30.262	28.444	151.439	25.113	190	0	OK	16-02-2026	10:40:30.262	28.444	29.375	OK	16-02-2026	10:40:30.262	28.444	1011	OK
16-02-2026	10:40:31.278	29.459	151.459	25.112	190	0	OK	16-02-2026	10:40:31.278	29.459	29.373	OK	16-02-2026	10:40:31.278	29.459	1011	OK
16-02-2026	10:40:32.265	30.446	151.401	25.117	190	0	OK	16-02-2026	10:40:32.265	30.446	29.371	OK	16-02-2026	10:40:32.265	30.446	1011	OK
16-02-2026	10:40:33.265	31.446	151.338	25.122	190	0	OK	16-02-2026	10:40:33.265	31.446	29.370	OK	16-02-2026	10:40:33.265	31.446	1011	OK
16-02-2026	10:40:34.265	32.447	151.451	25.114	190	0	OK	16-02-2026	10:40:34.265	32.447	29.368	OK	16-02-2026	10:40:34.265	32.447	1011	OK
16-02-2026	10:40:35.264	33.445	151.408	25.117	190	0	OK	16-02-2026	10:40:35.264	33.445	29.369	OK	16-02-2026	10:40:35.264	33.445	1011	OK
16-02-2026	10:40:36.264	34.445	151.450	25.113	190	0	OK	16-02-2026	10:40:36.264	34.445	29.372	OK	16-02-2026	10:40:36.264	34.445	1011	OK
16-02-2026	10:40:37.264	35.446	151.314	25.123	190	0	OK	16-02-2026	10:40:37.264	35.446	29.373	OK	16-02-2026	10:40:37.264	35.446	1011	OK
16-02-2026	10:40:38.264	36.446	151.446	25.113	190	0	OK	16-02-2026	10:40:38.264	36.446	29.373	OK	16-02-2026	10:40:38.264	36.446	1011	OK
16-02-2026	10:40:39.264	37.445	151.354	25.120	190	0	OK	16-02-2026	10:40:39.264	37.445	29.373	OK	16-02-2026	10:40:39.264	37.445	1011	OK
16-02-2026	10:40:40.264	38.445	151.465	25.111	190	0	OK	16-02-2026	10:40:40.264	38.445	29.375	OK	16-02-2026	10:40:40.264	38.445	1011	OK
16-02-2026	10:40:41.266	39.447	151.396	25.116	190	0	OK	16-02-2026	10:40:41.266	39.447	29.376	OK	16-02-2026	10:40:41.266	39.447	1011	OK
16-02-2026	10:40:42.266	40.447	151.386	25.117	190	0	OK	16-02-2026	10:40:42.266	40.447	29.375	OK	16-02-2026	10:40:42.266	40.447	1011	OK
16-02-2026	10:40:43.265	41.446	151.320	25.122	190	0	OK	16-02-2026	10:40:43.265	41.446	29.375	OK	16-02-2026	10:40:43.265	41.446	1011	OK
16-02-2026	10:40:44.266	42.447	151.373	25.118	190	0	OK	16-02-2026	10:40:44.266	42.447	29.375	OK	16-02-2026	10:40:44.266	42.447	1011	OK
16-02-2026	10:40:45.266	43.447	151.386	25.117	190	0	OK	16-02-2026	10:40:45.266	43.447	29.375	OK	16-02-2026	10:40:45.266	43.447	1011	OK
