#--- Experiment --------------------------------------------------------------------------
#TPC(2)-28-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XA7-532-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.441	52.830	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1010.984	24.145	50.054	24.383	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
17-02-2026	10:05:57.776	0.387	153.832	25.299	247	0	OK	17-02-2026	10:05:57.776	0.387	28.771	OK	17-02-2026	10:05:57.776	0.387	1011	OK
17-02-2026	10:05:58.663	1.274	153.817	25.301	247	0	OK	17-02-2026	10:05:58.663	1.274	28.768	OK	17-02-2026	10:05:58.663	1.274	1011	OK
17-02-2026	10:05:59.653	2.263	153.947	25.291	247	0	OK	17-02-2026	10:05:59.653	2.263	28.768	OK	17-02-2026	10:05:59.653	2.263	1011	OK
17-02-2026	10:06:00.640	3.251	153.888	25.295	247	0	OK	17-02-2026	10:06:00.640	3.251	28.770	OK	17-02-2026	10:06:00.640	3.251	1011	OK
17-02-2026	10:06:01.639	4.250	153.930	25.292	247	0	OK	17-02-2026	10:06:01.639	4.250	28.769	OK	17-02-2026	10:06:01.639	4.250	1011	OK
17-02-2026	10:06:02.648	5.259	153.934	25.292	247	1	OK	17-02-2026	10:06:02.648	5.259	28.768	OK	17-02-2026	10:06:02.648	5.259	1011	OK
17-02-2026	10:06:03.643	6.254	153.852	25.298	247	0	OK	17-02-2026	10:06:03.643	6.254	28.769	OK	17-02-2026	10:06:03.643	6.254	1011	OK
17-02-2026	10:06:04.640	7.251	153.947	25.291	247	0	OK	17-02-2026	10:06:04.640	7.251	28.768	OK	17-02-2026	10:06:04.640	7.251	1011	OK
17-02-2026	10:06:05.641	8.252	153.941	25.292	247	0	OK	17-02-2026	10:06:05.641	8.252	28.766	OK	17-02-2026	10:06:05.641	8.252	1011	OK
17-02-2026	10:06:06.647	9.258	153.945	25.292	247	1	OK	17-02-2026	10:06:06.647	9.258	28.765	OK	17-02-2026	10:06:06.647	9.258	1011	OK
17-02-2026	10:06:07.643	10.253	153.973	25.289	247	1	OK	17-02-2026	10:06:07.643	10.253	28.768	OK	17-02-2026	10:06:07.643	10.253	1011	OK
17-02-2026	10:06:08.643	11.254	153.934	25.292	247	0	OK	17-02-2026	10:06:08.643	11.254	28.768	OK	17-02-2026	10:06:08.643	11.254	1011	OK
17-02-2026	10:06:09.642	12.253	154.034	25.284	247	1	OK	17-02-2026	10:06:09.642	12.253	28.769	OK	17-02-2026	10:06:09.642	12.253	1011	OK
17-02-2026	10:06:10.645	13.256	153.924	25.293	247	1	OK	17-02-2026	10:06:10.645	13.256	28.767	OK	17-02-2026	10:06:10.645	13.256	1011	OK
17-02-2026	10:06:11.644	14.255	154.115	25.278	247	0	OK	17-02-2026	10:06:11.644	14.255	28.768	OK	17-02-2026	10:06:11.644	14.255	1011	OK
