#--- Experiment --------------------------------------------------------------------------
#TPC(2)-28-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.4] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.654	53.032	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1012.073	24.085	49.978	24.192	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (µmol/L) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Sample Temp. (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]
16-02-2026	10:40:02.012	0.194	154.561	25.224	312	0	OK	16-02-2026	10:40:02.012	0.194	29.104	OK	16-02-2026	10:40:02.012	0.194	1012	OK
16-02-2026	10:40:03.013	1.195	154.444	25.233	312	0	OK	16-02-2026	10:40:03.013	1.195	29.103	OK	16-02-2026	10:40:03.013	1.195	1012	OK
16-02-2026	10:40:04.013	2.194	154.349	25.239	312	0	OK	16-02-2026	10:40:04.013	2.194	29.107	OK	16-02-2026	10:40:04.013	2.194	1012	OK
16-02-2026	10:40:05.013	3.194	154.439	25.232	312	0	OK	16-02-2026	10:40:05.013	3.194	29.108	OK	16-02-2026	10:40:05.013	3.194	1012	OK
16-02-2026	10:40:06.013	4.194	154.386	25.236	313	0	OK	16-02-2026	10:40:06.013	4.194	29.108	OK	16-02-2026	10:40:06.013	4.194	1012	OK
16-02-2026	10:40:07.013	5.194	154.456	25.231	312	0	OK	16-02-2026	10:40:07.013	5.194	29.107	OK	16-02-2026	10:40:07.013	5.194	1012	OK
16-02-2026	10:40:08.013	6.194	154.422	25.233	312	0	OK	16-02-2026	10:40:08.013	6.194	29.109	OK	16-02-2026	10:40:08.013	6.194	1012	OK
16-02-2026	10:40:09.013	7.194	154.409	25.234	313	0	OK	16-02-2026	10:40:09.013	7.194	29.109	OK	16-02-2026	10:40:09.013	7.194	1012	OK
16-02-2026	10:40:10.014	8.195	154.428	25.232	313	0	OK	16-02-2026	10:40:10.014	8.195	29.111	OK	16-02-2026	10:40:10.014	8.195	1012	OK
16-02-2026	10:40:11.015	9.196	154.324	25.240	312	0	OK	16-02-2026	10:40:11.015	9.196	29.110	OK	16-02-2026	10:40:11.015	9.196	1012	OK
16-02-2026	10:40:12.017	10.198	154.371	25.236	312	0	OK	16-02-2026	10:40:12.017	10.198	29.112	OK	16-02-2026	10:40:12.017	10.198	1012	OK
16-02-2026	10:40:13.017	11.198	154.424	25.232	313	0	OK	16-02-2026	10:40:13.017	11.198	29.112	OK	16-02-2026	10:40:13.017	11.198	1012	OK
16-02-2026	10:40:14.017	12.198	154.384	25.235	312	0	OK	16-02-2026	10:40:14.017	12.198	29.112	OK	16-02-2026	10:40:14.017	12.198	1012	OK
16-02-2026	10:40:15.018	13.199	154.401	25.234	312	0	OK	16-02-2026	10:40:15.018	13.199	29.111	OK	16-02-2026	10:40:15.018	13.199	1012	OK
16-02-2026	10:40:16.018	14.199	154.324	25.240	312	0	OK	16-02-2026	10:40:16.018	14.199	29.110	OK	16-02-2026	10:40:16.018	14.199	1012	OK
