#--- Experiment --------------------------------------------------------------------------
#TPC(2)-22-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_B [B] FSO2-C4 SN:22160068 UiD:2411E508596FD584 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [B Ch.4] - Oxygen Sensor - XA7-533-211 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.654	53.032	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1012.073	24.085	49.978	24.192	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [B T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [B P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (µmol/L) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Sample Temp. (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]
17-02-2026	07:16:46.729	0.846	168.648	25.991	330	0	OK	17-02-2026	07:16:46.729	0.846	23.097	OK	17-02-2026	07:16:46.729	0.846	1012	OK
17-02-2026	07:16:47.726	1.843	168.696	25.988	330	0	OK	17-02-2026	07:16:47.726	1.843	23.096	OK	17-02-2026	07:16:47.726	1.843	1012	OK
17-02-2026	07:16:48.729	2.846	168.609	25.994	330	0	OK	17-02-2026	07:16:48.729	2.846	23.096	OK	17-02-2026	07:16:48.729	2.846	1012	OK
17-02-2026	07:16:49.728	3.845	168.759	25.984	330	0	OK	17-02-2026	07:16:49.728	3.845	23.095	OK	17-02-2026	07:16:49.728	3.845	1012	OK
17-02-2026	07:16:50.730	4.847	168.735	25.986	330	0	OK	17-02-2026	07:16:50.730	4.847	23.094	OK	17-02-2026	07:16:50.730	4.847	1012	OK
17-02-2026	07:16:51.729	5.846	168.662	25.991	330	0	OK	17-02-2026	07:16:51.729	5.846	23.094	OK	17-02-2026	07:16:51.729	5.846	1012	OK
17-02-2026	07:16:52.727	6.844	168.739	25.986	330	0	OK	17-02-2026	07:16:52.727	6.844	23.093	OK	17-02-2026	07:16:52.727	6.844	1012	OK
17-02-2026	07:16:53.728	7.845	168.768	25.984	330	0	OK	17-02-2026	07:16:53.728	7.845	23.093	OK	17-02-2026	07:16:53.728	7.845	1012	OK
17-02-2026	07:16:54.730	8.847	168.880	25.976	330	0	OK	17-02-2026	07:16:54.730	8.847	23.094	OK	17-02-2026	07:16:54.730	8.847	1012	OK
17-02-2026	07:16:55.731	9.848	168.793	25.982	330	0	OK	17-02-2026	07:16:55.731	9.848	23.094	OK	17-02-2026	07:16:55.731	9.848	1012	OK
17-02-2026	07:16:56.728	10.845	168.725	25.987	330	0	OK	17-02-2026	07:16:56.728	10.845	23.093	OK	17-02-2026	07:16:56.728	10.845	1012	OK
17-02-2026	07:16:57.729	11.846	168.758	25.985	330	0	OK	17-02-2026	07:16:57.729	11.846	23.092	OK	17-02-2026	07:16:57.729	11.846	1012	OK
17-02-2026	07:16:58.729	12.846	168.719	25.988	330	0	OK	17-02-2026	07:16:58.729	12.846	23.091	OK	17-02-2026	07:16:58.729	12.846	1012	OK
17-02-2026	07:16:59.730	13.847	168.806	25.982	330	0	OK	17-02-2026	07:16:59.730	13.847	23.091	OK	17-02-2026	07:16:59.730	13.847	1012	OK
17-02-2026	07:17:00.730	14.847	168.787	25.983	330	0	OK	17-02-2026	07:17:00.730	14.847	23.092	OK	17-02-2026	07:17:00.730	14.847	1012	OK
17-02-2026	07:17:01.729	15.846	168.787	25.983	330	0	OK	17-02-2026	07:17:01.729	15.846	23.092	OK	17-02-2026	07:17:01.729	15.846	1012	OK
17-02-2026	07:17:02.733	16.850	168.764	25.984	330	0	OK	17-02-2026	07:17:02.733	16.850	23.094	OK	17-02-2026	07:17:02.733	16.850	1012	OK
17-02-2026	07:17:03.735	17.852	168.797	25.982	330	0	OK	17-02-2026	07:17:03.735	17.852	23.093	OK	17-02-2026	07:17:03.735	17.852	1012	OK
17-02-2026	07:17:04.733	18.850	168.835	25.980	330	0	OK	17-02-2026	07:17:04.733	18.850	23.091	OK	17-02-2026	07:17:04.733	18.850	1012	OK
17-02-2026	07:17:05.732	19.849	168.844	25.980	330	0	OK	17-02-2026	07:17:05.732	19.849	23.089	OK	17-02-2026	07:17:05.732	19.849	1012	OK
17-02-2026	07:17:06.732	20.849	168.859	25.979	330	0	OK	17-02-2026	07:17:06.732	20.849	23.089	OK	17-02-2026	07:17:06.732	20.849	1012	OK
17-02-2026	07:17:07.734	21.851	168.806	25.982	330	0	OK	17-02-2026	07:17:07.734	21.851	23.091	OK	17-02-2026	07:17:07.734	21.851	1012	OK
17-02-2026	07:17:08.731	22.848	168.859	25.979	330	0	OK	17-02-2026	07:17:08.731	22.848	23.089	OK	17-02-2026	07:17:08.731	22.848	1012	OK
17-02-2026	07:17:09.732	23.849	168.810	25.983	330	0	OK	17-02-2026	07:17:09.732	23.849	23.087	OK	17-02-2026	07:17:09.732	23.849	1012	OK
17-02-2026	07:17:10.731	24.848	168.858	25.980	330	0	OK	17-02-2026	07:17:10.731	24.848	23.086	OK	17-02-2026	07:17:10.731	24.848	1012	OK
17-02-2026	07:17:11.733	25.850	168.954	25.974	330	0	OK	17-02-2026	07:17:11.733	25.850	23.084	OK	17-02-2026	07:17:11.733	25.850	1012	OK
17-02-2026	07:17:12.734	26.851	168.907	25.976	329	0	OK	17-02-2026	07:17:12.734	26.851	23.088	OK	17-02-2026	07:17:12.734	26.851	1012	OK
