#--- Experiment --------------------------------------------------------------------------
#TPC-28-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XA6-531-208 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.616	52.917	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.337	24.685	44.843	27.005	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (µmol/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
12-02-2026	14:15:54.062	0.234	158.002	25.176	205	0	OK	12-02-2026	14:15:54.062	0.234	28.463	OK	12-02-2026	14:15:54.062	0.234	1009	OK
12-02-2026	14:15:55.061	1.233	158.157	25.165	205	0	OK	12-02-2026	14:15:55.061	1.233	28.462	OK	12-02-2026	14:15:55.061	1.233	1009	OK
12-02-2026	14:15:56.072	2.243	158.078	25.171	205	0	OK	12-02-2026	14:15:56.072	2.243	28.461	OK	12-02-2026	14:15:56.072	2.243	1009	OK
12-02-2026	14:15:57.061	3.233	158.145	25.167	205	0	OK	12-02-2026	14:15:57.061	3.233	28.458	OK	12-02-2026	14:15:57.061	3.233	1009	OK
12-02-2026	14:15:58.061	4.233	158.090	25.171	205	0	OK	12-02-2026	14:15:58.061	4.233	28.458	OK	12-02-2026	14:15:58.061	4.233	1009	OK
12-02-2026	14:15:59.062	5.233	158.182	25.164	205	0	OK	12-02-2026	14:15:59.062	5.233	28.459	OK	12-02-2026	14:15:59.062	5.233	1009	OK
12-02-2026	14:16:00.062	6.234	158.027	25.175	205	0	OK	12-02-2026	14:16:00.062	6.234	28.460	OK	12-02-2026	14:16:00.062	6.234	1009	OK
12-02-2026	14:16:01.062	7.234	158.076	25.172	205	0	OK	12-02-2026	14:16:01.062	7.234	28.458	OK	12-02-2026	14:16:01.062	7.234	1009	OK
12-02-2026	14:16:02.064	8.235	158.096	25.170	205	0	OK	12-02-2026	14:16:02.064	8.235	28.460	OK	12-02-2026	14:16:02.064	8.235	1009	OK
12-02-2026	14:16:03.063	9.235	158.084	25.172	205	0	OK	12-02-2026	14:16:03.063	9.235	28.456	OK	12-02-2026	14:16:03.063	9.235	1009	OK
12-02-2026	14:16:04.063	10.234	158.180	25.165	205	0	OK	12-02-2026	14:16:04.063	10.234	28.456	OK	12-02-2026	14:16:04.063	10.234	1009	OK
12-02-2026	14:16:05.063	11.234	158.123	25.170	205	0	OK	12-02-2026	14:16:05.063	11.234	28.453	OK	12-02-2026	14:16:05.063	11.234	1009	OK
12-02-2026	14:16:06.063	12.235	158.078	25.173	205	0	OK	12-02-2026	14:16:06.063	12.235	28.454	OK	12-02-2026	14:16:06.063	12.235	1009	OK
12-02-2026	14:16:07.063	13.235	158.182	25.166	205	0	OK	12-02-2026	14:16:07.063	13.235	28.452	OK	12-02-2026	14:16:07.063	13.235	1009	OK
12-02-2026	14:16:08.064	14.236	157.990	25.180	205	0	OK	12-02-2026	14:16:08.064	14.236	28.452	OK	12-02-2026	14:16:08.064	14.236	1009	OK
12-02-2026	14:16:09.065	15.236	157.990	25.180	205	0	OK	12-02-2026	14:16:09.065	15.236	28.452	OK	12-02-2026	14:16:09.065	15.236	1009	OK
12-02-2026	14:16:10.065	16.236	158.003	25.179	205	0	OK	12-02-2026	14:16:10.065	16.236	28.452	OK	12-02-2026	14:16:10.065	16.236	1009	OK
12-02-2026	14:16:11.064	17.236	158.044	25.176	205	0	OK	12-02-2026	14:16:11.064	17.236	28.452	OK	12-02-2026	14:16:11.064	17.236	1009	OK
12-02-2026	14:16:12.065	18.236	158.080	25.174	205	0	OK	12-02-2026	14:16:12.065	18.236	28.450	OK	12-02-2026	14:16:12.065	18.236	1009	OK
12-02-2026	14:16:13.064	19.235	158.111	25.172	205	0	OK	12-02-2026	14:16:13.064	19.235	28.449	OK	12-02-2026	14:16:13.064	19.235	1009	OK
12-02-2026	14:16:14.065	20.237	158.080	25.174	205	0	OK	12-02-2026	14:16:14.065	20.237	28.450	OK	12-02-2026	14:16:14.065	20.237	1009	OK
12-02-2026	14:16:15.066	21.237	158.046	25.177	205	0	OK	12-02-2026	14:16:15.066	21.237	28.448	OK	12-02-2026	14:16:15.066	21.237	1009	OK
12-02-2026	14:16:16.066	22.237	158.109	25.173	205	0	OK	12-02-2026	14:16:16.066	22.237	28.446	OK	12-02-2026	14:16:16.066	22.237	1009	OK
12-02-2026	14:16:17.065	23.237	158.021	25.180	205	0	OK	12-02-2026	14:16:17.065	23.237	28.444	OK	12-02-2026	14:16:17.065	23.237	1009	OK
12-02-2026	14:16:18.065	24.237	158.019	25.181	205	0	OK	12-02-2026	14:16:18.065	24.237	28.441	OK	12-02-2026	14:16:18.065	24.237	1009	OK
12-02-2026	14:16:19.065	25.237	158.109	25.175	205	0	OK	12-02-2026	14:16:19.065	25.237	28.439	OK	12-02-2026	14:16:19.065	25.237	1009	OK
12-02-2026	14:16:20.065	26.237	158.160	25.171	205	0	OK	12-02-2026	14:16:20.065	26.237	28.440	OK	12-02-2026	14:16:20.065	26.237	1009	OK
12-02-2026	14:16:21.065	27.237	158.073	25.177	205	0	OK	12-02-2026	14:16:21.065	27.237	28.441	OK	12-02-2026	14:16:21.065	27.237	1009	OK
12-02-2026	14:16:22.068	28.239	158.060	25.178	205	0	OK	12-02-2026	14:16:22.068	28.239	28.441	OK	12-02-2026	14:16:22.068	28.239	1009	OK
12-02-2026	14:16:23.066	29.238	157.932	25.187	205	0	OK	12-02-2026	14:16:23.066	29.238	28.442	OK	12-02-2026	14:16:23.066	29.238	1009	OK
12-02-2026	14:16:24.066	30.238	157.977	25.184	205	0	OK	12-02-2026	14:16:24.066	30.238	28.441	OK	12-02-2026	14:16:24.066	30.238	1009	OK
12-02-2026	14:16:25.067	31.239	158.040	25.180	205	0	OK	12-02-2026	14:16:25.067	31.239	28.439	OK	12-02-2026	14:16:25.067	31.239	1009	OK
12-02-2026	14:16:26.066	32.238	158.067	25.178	205	0	OK	12-02-2026	14:16:26.066	32.238	28.439	OK	12-02-2026	14:16:26.066	32.238	1009	OK
12-02-2026	14:16:27.066	33.238	158.195	25.169	205	-1	OK	12-02-2026	14:16:27.066	33.238	28.438	OK	12-02-2026	14:16:27.066	33.238	1009	OK
12-02-2026	14:16:28.067	34.238	158.075	25.178	205	0	OK	12-02-2026	14:16:28.067	34.238	28.437	OK	12-02-2026	14:16:28.067	34.238	1009	OK
12-02-2026	14:16:29.068	35.239	157.999	25.183	205	0	OK	12-02-2026	14:16:29.068	35.239	28.439	OK	12-02-2026	14:16:29.068	35.239	1009	OK
12-02-2026	14:16:30.067	36.238	158.044	25.180	205	0	OK	12-02-2026	14:16:30.067	36.238	28.438	OK	12-02-2026	14:16:30.067	36.238	1009	OK
12-02-2026	14:16:31.070	37.241	158.040	25.180	205	0	OK	12-02-2026	14:16:31.070	37.241	28.439	OK	12-02-2026	14:16:31.070	37.241	1009	OK
12-02-2026	14:16:32.069	38.241	158.144	25.173	205	0	OK	12-02-2026	14:16:32.069	38.241	28.437	OK	12-02-2026	14:16:32.069	38.241	1009	OK
12-02-2026	14:16:33.068	39.240	158.134	25.174	205	0	OK	12-02-2026	14:16:33.068	39.240	28.436	OK	12-02-2026	14:16:33.068	39.240	1009	OK
12-02-2026	14:16:34.069	40.240	158.110	25.176	205	0	OK	12-02-2026	14:16:34.069	40.240	28.435	OK	12-02-2026	14:16:34.069	40.240	1009	OK
12-02-2026	14:16:35.068	41.240	158.093	25.177	205	0	OK	12-02-2026	14:16:35.068	41.240	28.436	OK	12-02-2026	14:16:35.068	41.240	1009	OK
12-02-2026	14:16:36.071	42.243	158.069	25.179	205	0	OK	12-02-2026	14:16:36.071	42.243	28.435	OK	12-02-2026	14:16:36.071	42.243	1009	OK
12-02-2026	14:16:37.069	43.241	158.101	25.177	205	0	OK	12-02-2026	14:16:37.069	43.241	28.434	OK	12-02-2026	14:16:37.069	43.241	1009	OK
12-02-2026	14:16:38.071	44.242	158.046	25.181	205	0	OK	12-02-2026	14:16:38.071	44.242	28.434	OK	12-02-2026	14:16:38.071	44.242	1009	OK
12-02-2026	14:16:39.070	45.242	158.053	25.181	205	0	OK	12-02-2026	14:16:39.070	45.242	28.432	OK	12-02-2026	14:16:39.070	45.242	1009	OK
12-02-2026	14:16:40.084	46.255	158.112	25.177	205	0	OK	12-02-2026	14:16:40.084	46.255	28.431	OK	12-02-2026	14:16:40.084	46.255	1009	OK
12-02-2026	14:16:41.071	47.243	158.083	25.180	205	0	OK	12-02-2026	14:16:41.071	47.243	28.428	OK	12-02-2026	14:16:41.071	47.243	1009	OK
12-02-2026	14:16:42.071	48.243	158.138	25.176	205	0	OK	12-02-2026	14:16:42.071	48.243	28.428	OK	12-02-2026	14:16:42.071	48.243	1009	OK
12-02-2026	14:16:43.071	49.242	158.120	25.177	205	0	OK	12-02-2026	14:16:43.071	49.242	28.429	OK	12-02-2026	14:16:43.071	49.242	1009	OK
12-02-2026	14:16:44.072	50.244	158.047	25.182	205	0	OK	12-02-2026	14:16:44.072	50.244	28.430	OK	12-02-2026	14:16:44.072	50.244	1009	OK
12-02-2026	14:16:45.073	51.245	158.126	25.176	205	0	OK	12-02-2026	14:16:45.073	51.245	28.431	OK	12-02-2026	14:16:45.073	51.245	1009	OK
12-02-2026	14:16:46.074	52.245	158.057	25.181	205	0	OK	12-02-2026	14:16:46.074	52.245	28.431	OK	12-02-2026	14:16:46.074	52.245	1009	OK
12-02-2026	14:16:47.075	53.247	158.071	25.180	205	-1	OK	12-02-2026	14:16:47.075	53.247	28.431	OK	12-02-2026	14:16:47.075	53.247	1009	OK
12-02-2026	14:16:48.076	54.247	158.112	25.177	205	-1	OK	12-02-2026	14:16:48.076	54.247	28.431	OK	12-02-2026	14:16:48.076	54.247	1009	OK
12-02-2026	14:16:49.075	55.247	158.024	25.184	205	0	OK	12-02-2026	14:16:49.075	55.247	28.429	OK	12-02-2026	14:16:49.075	55.247	1009	OK
12-02-2026	14:16:50.076	56.247	158.120	25.177	205	0	OK	12-02-2026	14:16:50.076	56.247	28.429	OK	12-02-2026	14:16:50.076	56.247	1009	OK
12-02-2026	14:16:51.076	57.247	158.041	25.183	205	0	OK	12-02-2026	14:16:51.076	57.247	28.428	OK	12-02-2026	14:16:51.076	57.247	1009	OK
12-02-2026	14:16:52.075	58.247	158.032	25.184	205	0	OK	12-02-2026	14:16:52.075	58.247	28.427	OK	12-02-2026	14:16:52.075	58.247	1009	OK
12-02-2026	14:16:53.075	59.247	158.104	25.179	205	-1	OK	12-02-2026	14:16:53.075	59.247	28.426	OK	12-02-2026	14:16:53.075	59.247	1009	OK
12-02-2026	14:16:54.075	60.247	158.008	25.186	205	-1	OK	12-02-2026	14:16:54.075	60.247	28.426	OK	12-02-2026	14:16:54.075	60.247	1009	OK
12-02-2026	14:16:55.075	61.247	157.922	25.192	205	0	OK	12-02-2026	14:16:55.075	61.247	28.427	OK	12-02-2026	14:16:55.075	61.247	1009	OK
12-02-2026	14:16:56.076	62.248	158.022	25.185	205	0	OK	12-02-2026	14:16:56.076	62.248	28.426	OK	12-02-2026	14:16:56.076	62.248	1009	OK
12-02-2026	14:16:57.075	63.247	157.902	25.194	205	0	OK	12-02-2026	14:16:57.075	63.247	28.425	OK	12-02-2026	14:16:57.075	63.247	1009	OK
12-02-2026	14:16:58.077	64.248	158.136	25.177	205	-1	OK	12-02-2026	14:16:58.077	64.248	28.425	OK	12-02-2026	14:16:58.077	64.248	1009	OK
12-02-2026	14:16:59.078	65.250	158.029	25.185	205	0	OK	12-02-2026	14:16:59.078	65.250	28.424	OK	12-02-2026	14:16:59.078	65.250	1009	OK
12-02-2026	14:17:00.078	66.249	158.081	25.181	205	-1	OK	12-02-2026	14:17:00.078	66.249	28.425	OK	12-02-2026	14:17:00.078	66.249	1009	OK
12-02-2026	14:17:01.078	67.250	157.984	25.188	205	0	OK	12-02-2026	14:17:01.078	67.250	28.425	OK	12-02-2026	14:17:01.078	67.250	1009	OK
12-02-2026	14:17:02.078	68.250	157.939	25.191	205	0	OK	12-02-2026	14:17:02.078	68.250	28.426	OK	12-02-2026	14:17:02.078	68.250	1009	OK
12-02-2026	14:17:03.078	69.250	157.967	25.189	205	0	OK	12-02-2026	14:17:03.078	69.250	28.426	OK	12-02-2026	14:17:03.078	69.250	1009	OK
12-02-2026	14:17:04.078	70.250	157.967	25.189	205	0	OK	12-02-2026	14:17:04.078	70.250	28.426	OK	12-02-2026	14:17:04.078	70.250	1009	OK
12-02-2026	14:17:05.078	71.250	157.887	25.194	205	0	OK	12-02-2026	14:17:05.078	71.250	28.429	OK	12-02-2026	14:17:05.078	71.250	1009	OK
12-02-2026	14:17:06.079	72.250	157.975	25.187	205	0	OK	12-02-2026	14:17:06.079	72.250	28.431	OK	12-02-2026	14:17:06.079	72.250	1009	OK
12-02-2026	14:17:07.079	73.251	157.889	25.193	205	0	OK	12-02-2026	14:17:07.079	73.251	28.432	OK	12-02-2026	14:17:07.079	73.251	1009	OK
12-02-2026	14:17:08.079	74.250	157.979	25.187	205	0	OK	12-02-2026	14:17:08.079	74.250	28.430	OK	12-02-2026	14:17:08.079	74.250	1009	OK
12-02-2026	14:17:09.080	75.251	157.906	25.192	205	0	OK	12-02-2026	14:17:09.080	75.251	28.431	OK	12-02-2026	14:17:09.080	75.251	1009	OK
12-02-2026	14:17:10.080	76.251	157.920	25.191	205	0	OK	12-02-2026	14:17:10.080	76.251	28.431	OK	12-02-2026	14:17:10.080	76.251	1009	OK
12-02-2026	14:17:11.081	77.252	158.008	25.184	205	0	OK	12-02-2026	14:17:11.081	77.252	28.433	OK	12-02-2026	14:17:11.081	77.252	1009	OK
12-02-2026	14:17:12.080	78.252	157.916	25.191	205	0	OK	12-02-2026	14:17:12.080	78.252	28.432	OK	12-02-2026	14:17:12.080	78.252	1009	OK
12-02-2026	14:17:13.081	79.252	157.936	25.189	205	0	OK	12-02-2026	14:17:13.081	79.252	28.434	OK	12-02-2026	14:17:13.081	79.252	1009	OK
12-02-2026	14:17:14.081	80.253	158.008	25.184	205	0	OK	12-02-2026	14:17:14.081	80.253	28.433	OK	12-02-2026	14:17:14.081	80.253	1009	OK
12-02-2026	14:17:15.081	81.253	157.936	25.189	205	0	OK	12-02-2026	14:17:15.081	81.253	28.434	OK	12-02-2026	14:17:15.081	81.253	1009	OK
12-02-2026	14:17:16.081	82.253	157.953	25.188	205	0	OK	12-02-2026	14:17:16.081	82.253	28.433	OK	12-02-2026	14:17:16.081	82.253	1009	OK
12-02-2026	14:17:17.081	83.253	157.926	25.190	205	0	OK	12-02-2026	14:17:17.081	83.253	28.433	OK	12-02-2026	14:17:17.081	83.253	1009	OK
12-02-2026	14:17:18.081	84.253	157.951	25.189	205	0	OK	12-02-2026	14:17:18.081	84.253	28.430	OK	12-02-2026	14:17:18.081	84.253	1009	OK
12-02-2026	14:17:19.082	85.254	157.902	25.192	205	0	OK	12-02-2026	14:17:19.082	85.254	28.432	OK	12-02-2026	14:17:19.082	85.254	1009	OK
12-02-2026	14:17:20.081	86.253	157.898	25.192	205	0	OK	12-02-2026	14:17:20.081	86.253	28.433	OK	12-02-2026	14:17:20.081	86.253	1009	OK
12-02-2026	14:17:21.082	87.253	157.916	25.191	205	-1	OK	12-02-2026	14:17:21.082	87.253	28.432	OK	12-02-2026	14:17:21.082	87.253	1009	OK
12-02-2026	14:17:22.083	88.254	157.947	25.189	205	0	OK	12-02-2026	14:17:22.083	88.254	28.431	OK	12-02-2026	14:17:22.083	88.254	1009	OK
12-02-2026	14:17:23.082	89.254	157.839	25.198	205	0	OK	12-02-2026	14:17:23.082	89.254	28.427	OK	12-02-2026	14:17:23.082	89.254	1009	OK
12-02-2026	14:17:24.090	90.262	157.894	25.194	205	0	OK	12-02-2026	14:17:24.090	90.262	28.427	OK	12-02-2026	14:17:24.090	90.262	1009	OK
12-02-2026	14:17:25.083	91.254	157.955	25.189	205	-1	OK	12-02-2026	14:17:25.083	91.254	28.429	OK	12-02-2026	14:17:25.083	91.254	1009	OK
