#--- Experiment --------------------------------------------------------------------------
#TPC-28-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - XA6-531-208 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	10/02/2026	10/02/2026	22.616	52.917	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.337	24.685	44.843	27.005	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (µmol/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
13-02-2026	11:38:25.586	0.489	165.262	24.708	206	0	OK	13-02-2026	11:38:25.586	0.489	28.294	OK	13-02-2026	11:38:25.586	0.489	1010	OK
13-02-2026	11:38:26.587	1.490	165.299	24.706	206	0	OK	13-02-2026	11:38:26.587	1.490	28.292	OK	13-02-2026	11:38:26.587	1.490	1010	OK
13-02-2026	11:38:27.588	2.491	165.101	24.720	206	0	OK	13-02-2026	11:38:27.588	2.491	28.291	OK	13-02-2026	11:38:27.588	2.491	1010	OK
13-02-2026	11:38:28.588	3.491	165.134	24.718	206	0	OK	13-02-2026	11:38:28.588	3.491	28.290	OK	13-02-2026	11:38:28.588	3.491	1010	OK
13-02-2026	11:38:29.587	4.490	165.033	24.725	206	0	OK	13-02-2026	11:38:29.587	4.490	28.290	OK	13-02-2026	11:38:29.587	4.490	1010	OK
13-02-2026	11:38:30.588	5.492	165.124	24.719	206	0	OK	13-02-2026	11:38:30.588	5.492	28.289	OK	13-02-2026	11:38:30.588	5.492	1010	OK
13-02-2026	11:38:31.597	6.500	165.163	24.716	206	0	OK	13-02-2026	11:38:31.597	6.500	28.290	OK	13-02-2026	11:38:31.597	6.500	1010	OK
13-02-2026	11:38:32.596	7.499	165.132	24.719	206	0	OK	13-02-2026	11:38:32.596	7.499	28.287	OK	13-02-2026	11:38:32.596	7.499	1010	OK
13-02-2026	11:38:33.596	8.499	165.161	24.717	206	0	OK	13-02-2026	11:38:33.596	8.499	28.287	OK	13-02-2026	11:38:33.596	8.499	1010	OK
13-02-2026	11:38:34.595	9.499	165.255	24.711	206	0	OK	13-02-2026	11:38:34.595	9.499	28.285	OK	13-02-2026	11:38:34.595	9.499	1010	OK
13-02-2026	11:38:35.595	10.499	165.169	24.717	206	0	OK	13-02-2026	11:38:35.595	10.499	28.285	OK	13-02-2026	11:38:35.595	10.499	1010	OK
13-02-2026	11:38:36.595	11.499	165.274	24.710	206	0	OK	13-02-2026	11:38:36.595	11.499	28.284	OK	13-02-2026	11:38:36.595	11.499	1010	OK
13-02-2026	11:38:37.595	12.499	165.185	24.717	206	0	OK	13-02-2026	11:38:37.595	12.499	28.281	OK	13-02-2026	11:38:37.595	12.499	1010	OK
13-02-2026	11:38:38.595	13.498	165.146	24.720	206	0	OK	13-02-2026	11:38:38.595	13.498	28.280	OK	13-02-2026	11:38:38.595	13.498	1010	OK
13-02-2026	11:38:39.595	14.498	165.160	24.719	206	0	OK	13-02-2026	11:38:39.595	14.498	28.280	OK	13-02-2026	11:38:39.595	14.498	1010	OK
