#--- Experiment --------------------------------------------------------------------------
#TPC(2)-24-Porites
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - XA7-532-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.441	52.830	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1010.984	24.145	50.054	24.383	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
16-02-2026	08:41:56.594	0.763	143.614	27.445	288	0	OK	16-02-2026	08:41:56.594	0.763	24.248	OK	16-02-2026	08:41:56.594	0.763	1012	OK
16-02-2026	08:41:57.594	1.763	143.634	27.443	288	0	OK	16-02-2026	08:41:57.594	1.763	24.249	OK	16-02-2026	08:41:57.594	1.763	1012	OK
16-02-2026	08:41:58.595	2.764	143.586	27.448	288	0	OK	16-02-2026	08:41:58.595	2.764	24.246	OK	16-02-2026	08:41:58.595	2.764	1012	OK
16-02-2026	08:41:59.596	3.764	143.518	27.454	288	0	OK	16-02-2026	08:41:59.596	3.764	24.245	OK	16-02-2026	08:41:59.596	3.764	1012	OK
16-02-2026	08:42:00.595	4.764	143.566	27.450	288	0	OK	16-02-2026	08:42:00.595	4.764	24.245	OK	16-02-2026	08:42:00.595	4.764	1012	OK
16-02-2026	08:42:01.595	5.764	143.531	27.452	288	0	OK	16-02-2026	08:42:01.595	5.764	24.248	OK	16-02-2026	08:42:01.595	5.764	1012	OK
16-02-2026	08:42:02.594	6.763	143.534	27.452	288	0	OK	16-02-2026	08:42:02.594	6.763	24.247	OK	16-02-2026	08:42:02.594	6.763	1012	OK
16-02-2026	08:42:03.600	7.769	143.602	27.446	288	0	OK	16-02-2026	08:42:03.600	7.769	24.248	OK	16-02-2026	08:42:03.600	7.769	1012	OK
16-02-2026	08:42:04.594	8.763	143.550	27.451	288	1	OK	16-02-2026	08:42:04.594	8.763	24.246	OK	16-02-2026	08:42:04.594	8.763	1012	OK
16-02-2026	08:42:05.594	9.763	143.642	27.443	288	0	OK	16-02-2026	08:42:05.594	9.763	24.247	OK	16-02-2026	08:42:05.594	9.763	1012	OK
16-02-2026	08:42:06.594	10.763	143.590	27.447	288	1	OK	16-02-2026	08:42:06.594	10.763	24.248	OK	16-02-2026	08:42:06.594	10.763	1012	OK
16-02-2026	08:42:07.594	11.763	143.551	27.450	288	0	OK	16-02-2026	08:42:07.594	11.763	24.249	OK	16-02-2026	08:42:07.594	11.763	1012	OK
16-02-2026	08:42:08.594	12.763	143.567	27.449	288	0	OK	16-02-2026	08:42:08.594	12.763	24.248	OK	16-02-2026	08:42:08.594	12.763	1012	OK
16-02-2026	08:42:09.594	13.763	143.567	27.448	288	0	OK	16-02-2026	08:42:09.594	13.763	24.251	OK	16-02-2026	08:42:09.594	13.763	1012	OK
16-02-2026	08:42:10.595	14.764	143.468	27.457	288	1	OK	16-02-2026	08:42:10.595	14.764	24.249	OK	16-02-2026	08:42:10.595	14.764	1012	OK
16-02-2026	08:42:11.594	15.763	143.535	27.451	288	0	OK	16-02-2026	08:42:11.594	15.763	24.250	OK	16-02-2026	08:42:11.594	15.763	1012	OK
16-02-2026	08:42:12.594	16.763	143.499	27.455	288	0	OK	16-02-2026	08:42:12.594	16.763	24.247	OK	16-02-2026	08:42:12.594	16.763	1012	OK
16-02-2026	08:42:13.596	17.764	143.514	27.454	288	0	OK	16-02-2026	08:42:13.596	17.764	24.246	OK	16-02-2026	08:42:13.596	17.764	1012	OK
16-02-2026	08:42:14.596	18.765	143.514	27.454	288	0	OK	16-02-2026	08:42:14.596	18.765	24.246	OK	16-02-2026	08:42:14.596	18.765	1012	OK
16-02-2026	08:42:15.596	19.765	143.542	27.452	288	0	OK	16-02-2026	08:42:15.596	19.765	24.245	OK	16-02-2026	08:42:15.596	19.765	1012	OK
