#--- Experiment --------------------------------------------------------------------------
#TPC(2)-28-Porites(2)
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#CSMS-150369
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2_A [A] FSO2-C4 SN:22160074 UiD:24EB9B03596FD621 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - XA6-533-210 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	33.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	15/02/2026	15/02/2026	22.408	52.749	0.804000	0.096000	4000	-0.082000	0.969000	0.900000	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.019	24.144	49.760	24.352	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
17-02-2026	10:05:57.864	0.475	153.021	25.162	186	0	OK	17-02-2026	10:05:57.864	0.475	28.771	OK	17-02-2026	10:05:57.864	0.475	1011	OK
17-02-2026	10:05:58.749	1.360	153.006	25.164	186	0	OK	17-02-2026	10:05:58.749	1.360	28.768	OK	17-02-2026	10:05:58.749	1.360	1011	OK
17-02-2026	10:05:59.744	2.355	153.015	25.163	186	0	OK	17-02-2026	10:05:59.744	2.355	28.769	OK	17-02-2026	10:05:59.744	2.355	1011	OK
17-02-2026	10:06:00.745	3.356	152.989	25.165	186	0	OK	17-02-2026	10:06:00.745	3.356	28.769	OK	17-02-2026	10:06:00.745	3.356	1011	OK
17-02-2026	10:06:01.744	4.355	153.096	25.157	186	0	OK	17-02-2026	10:06:01.744	4.355	28.769	OK	17-02-2026	10:06:01.744	4.355	1011	OK
17-02-2026	10:06:02.746	5.357	153.073	25.159	186	0	OK	17-02-2026	10:06:02.746	5.357	28.768	OK	17-02-2026	10:06:02.746	5.357	1011	OK
17-02-2026	10:06:03.753	6.364	153.015	25.163	186	0	OK	17-02-2026	10:06:03.753	6.364	28.769	OK	17-02-2026	10:06:03.753	6.364	1011	OK
17-02-2026	10:06:04.745	7.356	153.126	25.155	186	0	OK	17-02-2026	10:06:04.745	7.356	28.768	OK	17-02-2026	10:06:04.745	7.356	1011	OK
17-02-2026	10:06:05.746	8.357	152.933	25.170	186	0	OK	17-02-2026	10:06:05.746	8.357	28.766	OK	17-02-2026	10:06:05.746	8.357	1011	OK
17-02-2026	10:06:06.747	9.358	153.070	25.160	186	0	OK	17-02-2026	10:06:06.747	9.358	28.765	OK	17-02-2026	10:06:06.747	9.358	1011	OK
17-02-2026	10:06:07.746	10.357	152.966	25.167	186	0	OK	17-02-2026	10:06:07.746	10.357	28.768	OK	17-02-2026	10:06:07.746	10.357	1011	OK
17-02-2026	10:06:08.745	11.356	153.006	25.164	186	0	OK	17-02-2026	10:06:08.745	11.356	28.768	OK	17-02-2026	10:06:08.745	11.356	1011	OK
17-02-2026	10:06:09.748	12.359	152.922	25.170	186	0	OK	17-02-2026	10:06:09.748	12.359	28.769	OK	17-02-2026	10:06:09.748	12.359	1011	OK
17-02-2026	10:06:10.747	13.358	152.956	25.168	186	0	OK	17-02-2026	10:06:10.747	13.358	28.767	OK	17-02-2026	10:06:10.747	13.358	1011	OK
17-02-2026	10:06:11.748	14.359	152.926	25.170	186	0	OK	17-02-2026	10:06:11.748	14.359	28.768	OK	17-02-2026	10:06:11.748	14.359	1011	OK
17-02-2026	10:06:12.746	15.357	153.050	25.161	186	0	OK	17-02-2026	10:06:12.746	15.357	28.767	OK	17-02-2026	10:06:12.746	15.357	1011	OK
17-02-2026	10:06:13.747	16.357	152.865	25.174	186	0	OK	17-02-2026	10:06:13.747	16.357	28.770	OK	17-02-2026	10:06:13.747	16.357	1011	OK
17-02-2026	10:06:14.746	17.357	152.924	25.169	186	0	OK	17-02-2026	10:06:14.746	17.357	28.772	OK	17-02-2026	10:06:14.746	17.357	1011	OK
17-02-2026	10:06:15.746	18.357	152.920	25.169	186	0	OK	17-02-2026	10:06:15.746	18.357	28.773	OK	17-02-2026	10:06:15.746	18.357	1011	OK
17-02-2026	10:06:16.747	19.358	152.920	25.169	186	0	OK	17-02-2026	10:06:16.747	19.358	28.773	OK	17-02-2026	10:06:16.747	19.358	1011	OK
17-02-2026	10:06:17.747	20.358	152.861	25.174	186	0	OK	17-02-2026	10:06:17.747	20.358	28.771	OK	17-02-2026	10:06:17.747	20.358	1011	OK
17-02-2026	10:06:18.749	21.360	152.857	25.174	186	0	OK	17-02-2026	10:06:18.749	21.360	28.772	OK	17-02-2026	10:06:18.749	21.360	1011	OK
17-02-2026	10:06:19.749	22.360	152.867	25.173	186	0	OK	17-02-2026	10:06:19.749	22.360	28.773	OK	17-02-2026	10:06:19.749	22.360	1011	OK
17-02-2026	10:06:20.749	23.360	152.949	25.166	186	0	OK	17-02-2026	10:06:20.749	23.360	28.776	OK	17-02-2026	10:06:20.749	23.360	1011	OK
17-02-2026	10:06:21.750	24.361	152.816	25.176	186	0	OK	17-02-2026	10:06:21.750	24.361	28.776	OK	17-02-2026	10:06:21.750	24.361	1011	OK
17-02-2026	10:06:22.749	25.359	152.803	25.177	186	0	OK	17-02-2026	10:06:22.749	25.359	28.776	OK	17-02-2026	10:06:22.749	25.359	1011	OK
17-02-2026	10:06:23.750	26.361	152.869	25.172	186	0	OK	17-02-2026	10:06:23.750	26.361	28.776	OK	17-02-2026	10:06:23.750	26.361	1011	OK
17-02-2026	10:06:24.749	27.360	152.972	25.164	186	0	OK	17-02-2026	10:06:24.749	27.360	28.777	OK	17-02-2026	10:06:24.749	27.360	1011	OK
17-02-2026	10:06:25.750	28.361	152.955	25.165	186	0	OK	17-02-2026	10:06:25.750	28.361	28.778	OK	17-02-2026	10:06:25.750	28.361	1011	OK
17-02-2026	10:06:26.749	29.360	152.845	25.173	186	0	OK	17-02-2026	10:06:26.749	29.360	28.779	OK	17-02-2026	10:06:26.749	29.360	1011	OK
17-02-2026	10:06:27.750	30.361	152.868	25.171	186	0	OK	17-02-2026	10:06:27.750	30.361	28.780	OK	17-02-2026	10:06:27.750	30.361	1011	OK
17-02-2026	10:06:28.751	31.362	152.824	25.174	186	0	OK	17-02-2026	10:06:28.751	31.362	28.781	OK	17-02-2026	10:06:28.751	31.362	1011	OK
17-02-2026	10:06:29.761	32.372	152.885	25.170	186	0	OK	17-02-2026	10:06:29.761	32.372	28.779	OK	17-02-2026	10:06:29.761	32.372	1011	OK
17-02-2026	10:06:30.752	33.363	152.848	25.173	186	0	OK	17-02-2026	10:06:30.752	33.363	28.778	OK	17-02-2026	10:06:30.752	33.363	1011	OK
17-02-2026	10:06:31.754	34.364	152.875	25.171	186	0	OK	17-02-2026	10:06:31.754	34.364	28.778	OK	17-02-2026	10:06:31.754	34.364	1011	OK
17-02-2026	10:06:32.754	35.365	152.835	25.174	186	0	OK	17-02-2026	10:06:32.754	35.365	28.778	OK	17-02-2026	10:06:32.754	35.365	1011	OK
17-02-2026	10:06:33.755	36.366	152.875	25.171	186	0	OK	17-02-2026	10:06:33.755	36.366	28.778	OK	17-02-2026	10:06:33.755	36.366	1011	OK
17-02-2026	10:06:34.754	37.364	152.968	25.164	186	0	OK	17-02-2026	10:06:34.754	37.364	28.778	OK	17-02-2026	10:06:34.754	37.364	1011	OK
17-02-2026	10:06:35.754	38.365	152.896	25.170	186	0	OK	17-02-2026	10:06:35.754	38.365	28.776	OK	17-02-2026	10:06:35.754	38.365	1011	OK
17-02-2026	10:06:36.755	39.365	152.835	25.174	186	0	OK	17-02-2026	10:06:36.755	39.365	28.778	OK	17-02-2026	10:06:36.755	39.365	1011	OK
17-02-2026	10:06:37.755	40.366	152.812	25.176	186	0	OK	17-02-2026	10:06:37.755	40.366	28.777	OK	17-02-2026	10:06:37.755	40.366	1011	OK
17-02-2026	10:06:38.755	41.366	152.888	25.170	186	0	OK	17-02-2026	10:06:38.755	41.366	28.778	OK	17-02-2026	10:06:38.755	41.366	1011	OK
17-02-2026	10:06:39.757	42.368	152.772	25.179	186	0	OK	17-02-2026	10:06:39.757	42.368	28.777	OK	17-02-2026	10:06:39.757	42.368	1011	OK
17-02-2026	10:06:40.757	43.367	152.885	25.170	186	0	OK	17-02-2026	10:06:40.757	43.367	28.779	OK	17-02-2026	10:06:40.757	43.367	1011	OK
17-02-2026	10:06:41.758	44.369	152.768	25.179	186	0	OK	17-02-2026	10:06:41.758	44.369	28.778	OK	17-02-2026	10:06:41.758	44.369	1011	OK
17-02-2026	10:06:42.759	45.369	152.702	25.184	186	0	OK	17-02-2026	10:06:42.759	45.369	28.778	OK	17-02-2026	10:06:42.759	45.369	1011	OK
17-02-2026	10:06:43.758	46.369	152.848	25.173	186	0	OK	17-02-2026	10:06:43.758	46.369	28.778	OK	17-02-2026	10:06:43.758	46.369	1011	OK
17-02-2026	10:06:44.758	47.369	152.865	25.172	186	0	OK	17-02-2026	10:06:44.758	47.369	28.777	OK	17-02-2026	10:06:44.758	47.369	1012	OK
17-02-2026	10:06:45.759	48.370	152.789	25.178	186	0	OK	17-02-2026	10:06:45.759	48.370	28.776	OK	17-02-2026	10:06:45.759	48.370	1011	OK
17-02-2026	10:06:46.760	49.371	152.814	25.177	186	0	OK	17-02-2026	10:06:46.760	49.371	28.773	OK	17-02-2026	10:06:46.760	49.371	1011	OK
17-02-2026	10:06:47.760	50.371	152.791	25.179	186	0	OK	17-02-2026	10:06:47.760	50.371	28.772	OK	17-02-2026	10:06:47.760	50.371	1011	OK
17-02-2026	10:06:48.762	51.373	152.800	25.178	186	0	OK	17-02-2026	10:06:48.762	51.373	28.773	OK	17-02-2026	10:06:48.762	51.373	1011	OK
17-02-2026	10:06:49.760	52.370	152.837	25.175	186	0	OK	17-02-2026	10:06:49.760	52.370	28.774	OK	17-02-2026	10:06:49.760	52.370	1011	OK
17-02-2026	10:06:50.761	53.372	152.833	25.175	186	0	OK	17-02-2026	10:06:50.761	53.372	28.775	OK	17-02-2026	10:06:50.761	53.372	1011	OK
