colony_id,species,Temp.Cat,Run,Date,notes
POC_1,Pocillopora,24,1,20261202,
POC_2,Pocillopora,24,1,20261202,
POC_3,Pocillopora,24,1,20261202,
POC_4,Pocillopora,24,1,20261202,
POC_5,Pocillopora,24,1,20261202,
POC_6,Pocillopora,24,1,20261202,
POC_7,Pocillopora,24,1,20261202,
bk1,blank,24,1,20261202,
POR_17,Porites,24,1,20261202,
bk2,blank,24,1,20261202,
POR_11,Porites,24,1,20261202,
POR_12,Porites,24,1,20261202,
POR_13,Porites,24,1,20261202,
POR_14,Porites,24,1,20261202,
POR_15,Porites,24,1,20261202,
POR_16,Porites,24,1,20261202,
POC_1,Pocillopora,26,2,20261202,
POC_2,Pocillopora,26,2,20261202,
POC_3,Pocillopora,26,2,20261202,
POC_4,Pocillopora,26,2,20261202,
POC_5,Pocillopora,26,2,20261202,
POC_6,Pocillopora,26,2,20261202,
POC_7,Pocillopora,26,2,20261202,
bk1,blank,26,2,20261202,
POR_17,Porites,26,2,20261202,
bk2,blank,26,2,20261202,
POR_11,Porites,26,2,20261202,
POR_12,Porites,26,2,20261202,
POR_13,Porites,26,2,20261202,
POR_14,Porites,26,2,20261202,
POR_15,Porites,26,2,20261202,
POR_16,Porites,26,2,20261202,
POC_1,Pocillopora,28,3,20261202,
POC_2,Pocillopora,28,3,20261202,
POC_3,Pocillopora,28,3,20261202,
POC_4,Pocillopora,28,3,20261202,
POC_5,Pocillopora,28,3,20261202,
POC_6,Pocillopora,28,3,20261202,
POC_7,Pocillopora,28,3,20261202,
bk1,blank,28,3,20261202,
POR_17,Porites,28,3,20261202,
bk2,blank,28,3,20261202,
POR_11,Porites,28,3,20261202,
POR_12,Porites,28,3,20261202,
POR_13,Porites,28,3,20261202,
POR_14,Porites,28,3,20261202,
POR_15,Porites,28,3,20261202,
POR_16,Porites,28,3,20261202,
POC_1,Pocillopora,30,4,20261202,
POC_2,Pocillopora,30,4,20261202,
POC_3,Pocillopora,30,4,20261202,
POC_4,Pocillopora,30,4,20261202,
POC_5,Pocillopora,30,4,20261202,
POC_6,Pocillopora,30,4,20261202,
