Comparison	Z	P.unadj	P.adj	Variable	Species
22 - 24	-0.520668282917593	0.602597872864334	1	fv_fm	Porites
22 - 25	0.97849729031065	0.327828430852824	1	fv_fm	Porites
24 - 25	1.29831547089472	0.194178952288207	1	fv_fm	Porites
22 - 26	0.197902492510217	0.843121354006969	1	fv_fm	Porites
24 - 26	0.682254991409261	0.495077727694259	1	fv_fm	Porites
25 - 26	-0.816910581818983	0.413979530101326	1	fv_fm	Porites
22 - 28	0.962026005257999	0.336036541078134	1	fv_fm	Porites
24 - 28	1.30615922697431	0.191498415185131	1	fv_fm	Porites
25 - 28	-0.193006346253936	0.846953997947828	1	fv_fm	Porites
26 - 28	0.764123512747781	0.444793641656142	1	fv_fm	Porites
22 - 30	0.478264356899691	0.63246206180798	1	fv_fm	Porites
24 - 30	0.911169495105789	0.362206074250762	1	fv_fm	Porites
25 - 30	-0.587996078122455	0.556534925257046	1	fv_fm	Porites
26 - 30	0.280361864389474	0.779199892045433	1	fv_fm	Porites
28 - 30	-0.483761648358308	0.628555035951496	1	fv_fm	Porites
22 - 32	-0.236383532720537	0.81313507315012	1	fv_fm	Porites
24 - 32	0.327661936663658	0.74316728604064	1	fv_fm	Porites
25 - 32	-1.17150363656459	0.241396396943588	1	fv_fm	Porites
26 - 32	-0.434286025230754	0.664080750635203	1	fv_fm	Porites
28 - 32	-1.19840953797854	0.230757621097436	1	fv_fm	Porites
30 - 32	-0.714647889620228	0.474826645063837	1	fv_fm	Porites
22 - 34	3.01251571932219	0.00259092017150992	0.0725457648022779	fv_fm	Porites
24 - 34	2.98037706773519	0.00287893765213452	0.0806102542597666	fv_fm	Porites
25 - 34	1.48121149450695	0.138550224148323	1	fv_fm	Porites
26 - 34	2.81461322681197	0.00488359705542991	0.136740717552038	fv_fm	Porites
28 - 34	2.05048971406419	0.0403166665175106	1	fv_fm	Porites
30 - 34	2.5342513624225	0.0112687865756113	0.315526024117117	fv_fm	Porites
32 - 34	3.24889925204273	0.00115852502450845	0.0324387006862365	fv_fm	Porites
22 - 24	-0.933358680009886	0.350634807028852	1	fv_fm	Poccilopora
22 - 25	-2.13595544079185	0.0326830459773494	0.915125287365783	fv_fm	Poccilopora
24 - 25	-1.04147934534606	0.297653134363832	1	fv_fm	Poccilopora
