Variable	Species	Chi_sq	df	p_value
fv_fm	Porites	16.194710148736	7	0.0233957907237918
fv_fm	Poccilopora	12.5030483961339	7	0.0851828527929057
Sigma	Porites	28.8124558211149	7	0.000156533672896923
Sigma	Poccilopora	20.0678652039263	7	0.0054249460917148
p	Porites	8.06080356668971	7	0.327262871128863
p	Poccilopora	15.8539356984479	7	0.0264848460863911
Pmax.e.s	Porites	45.0535097014652	7	1.33528052951976e-07
Pmax.e.s	Poccilopora	33.931328632172	7	1.77418285545352e-05
Fm	Porites	7.79591104734577	7	0.350933969592964
Fm	Poccilopora	18.5784739475802	7	0.0096155611774148
TauAv1	Porites	16.7542020997375	7	0.019051767357558
TauAv1	Poccilopora	10.1426945353374	7	0.180630293487165
