Species	Temp	n	statistic	p_value	Variable
Poccilopora	22	10	0.891738478102131	0.177380996013997	fv_fm
Poccilopora	24	5	0.819492848845806	0.115719424849715	fv_fm
Poccilopora	25	5	0.735517735356122	0.0217349825738106	fv_fm
Poccilopora	26	10	0.973823696686272	0.923857439199079	fv_fm
Poccilopora	28	10	0.961451839809745	0.802293168110661	fv_fm
Poccilopora	30	10	0.966205376603134	0.853607748628292	fv_fm
Poccilopora	32	10	0.934414015194768	0.492682639583114	fv_fm
Poccilopora	34	10	0.937472820417015	0.525250724046266	fv_fm
Porites	22	10	0.989457535969956	0.996112705412891	fv_fm
Porites	24	5	0.818276242958546	0.113237394707064	fv_fm
Porites	25	5	0.915742439123027	0.502854927777837	fv_fm
Porites	26	10	0.915249601820153	0.319030324370798	fv_fm
Porites	28	10	0.963546993135477	0.825434232306573	fv_fm
Porites	30	10	0.799916680165363	0.0144647753381093	fv_fm
Porites	32	10	0.939636590537134	0.548976737289998	fv_fm
Porites	34	10	0.657083117359157	0.000267041931727121	fv_fm
Poccilopora	22	10	0.957856507594356	0.761182144757441	Sigma
Poccilopora	24	5	0.985531049092609	0.961841832591488	Sigma
Poccilopora	25	5	0.940268596403977	0.667837861756407	Sigma
Poccilopora	26	10	0.951743245762763	0.689151387104453	Sigma
Poccilopora	28	10	0.964523485486171	0.835953564045558	Sigma
Poccilopora	30	10	0.977046279378391	0.947424639781445	Sigma
Poccilopora	32	10	0.967933231038192	0.871049020084116	Sigma
Poccilopora	34	10	0.974753364142979	0.931083213795349	Sigma
Porites	22	10	0.901891388808139	0.229796790463396	Sigma
Porites	24	5	0.842905052453426	0.173113438953783	Sigma
Porites	25	5	0.975880450719866	0.911472439782841	Sigma
Porites	26	10	0.842051723411366	0.0466922024598761	Sigma
Porites	28	10	0.945598267333366	0.616805384195471	Sigma
Porites	30	10	0.952903411292887	0.702904483211039	Sigma
Porites	32	10	0.942519068779351	0.58136915170893	Sigma
Porites	34	10	0.866689293807752	0.0914484145136178	Sigma
Poccilopora	22	10	0.966724040531443	0.858921765273233	p
Poccilopora	24	5	0.963555627211344	0.832499825492722	p
Poccilopora	25	5	0.960858999148515	0.813952127357027	p
Poccilopora	26	10	0.86628712257026	0.0904622454002932	p
Poccilopora	28	10	0.884128622128046	0.145488641321488	p
Poccilopora	30	10	0.940217215317387	0.555432924207048	p
Poccilopora	32	10	0.94410325978939	0.599505659401426	p
Poccilopora	34	10	0.917617241312363	0.337509706240209	p
Porites	22	10	0.858072251692582	0.0724134212562559	p
Porites	24	5	0.871300301201747	0.271728922122051	p
Porites	25	5	0.941625121604558	0.677449780716733	p
Porites	26	10	0.949241838720477	0.659538306017696	p
Porites	28	10	0.921828352402213	0.372456877300533	p
Porites	30	10	0.985792132865485	0.988607360168487	p
Porites	32	10	0.876673310362633	0.119476207011805	p
Porites	34	10	0.828894823085261	0.0324505325014606	p
Poccilopora	22	10	0.544762280850535	1.22290919554739e-05	Pmax.e.s
Poccilopora	24	5	0.614714924515513	0.000977492492621438	Pmax.e.s
Poccilopora	25	5	0.570242723487068	0.000242050264387282	Pmax.e.s
Poccilopora	26	10	0.816502403415685	0.0229891848445025	Pmax.e.s
Poccilopora	28	10	0.904880753780932	0.247644036264095	Pmax.e.s
Poccilopora	30	10	0.958495298319306	0.768587855926971	Pmax.e.s
Poccilopora	32	10	0.963081521687621	0.820356943085343	Pmax.e.s
Poccilopora	34	10	0.924459022063039	0.395649106475285	Pmax.e.s
Porites	22	10	0.398219048466074	2.37871803111941e-07	Pmax.e.s
Porites	24	5	0.840063035824038	0.165096194253475	Pmax.e.s
Porites	25	5	0.576406767888199	0.000296547427977515	Pmax.e.s
Porites	26	10	0.848872243235357	0.0563209646576211	Pmax.e.s
Porites	28	9	0.928748305852328	0.469519361019662	Pmax.e.s
Porites	30	10	0.974828090064346	0.93164939516428	Pmax.e.s
Porites	32	10	0.966044168183847	0.85194302759761	Pmax.e.s
Porites	34	10	0.423637956029523	4.68319671879036e-07	Pmax.e.s
Poccilopora	22	10	0.876079371697265	0.117603593567283	Fm
Poccilopora	24	5	0.872070966983146	0.274911050241941	Fm
Poccilopora	25	5	0.953136971388972	0.759569015623732	Fm
Poccilopora	26	10	0.938460421053546	0.536012818401037	Fm
Poccilopora	28	10	0.974335562519828	0.92787726208676	Fm
Poccilopora	30	10	0.97252722037958	0.913236533043657	Fm
Poccilopora	32	10	0.878143573800668	0.124233161421859	Fm
Poccilopora	34	10	0.958067847952698	0.763636279017516	Fm
Porites	22	10	0.929718901934867	0.445132958006736	Fm
Porites	24	5	0.972595807407649	0.891638007731629	Fm
Porites	25	5	0.92866736596579	0.587311392604851	Fm
Porites	26	10	0.928391274148997	0.432256506113113	Fm
Porites	28	10	0.944707815009717	0.606481372202329	Fm
Porites	30	10	0.973759077011752	0.923342854449216	Fm
Porites	32	10	0.863917427660331	0.0848548455278266	Fm
Porites	34	10	0.965491715499997	0.846192772362784	Fm
Poccilopora	22	10	0.93367207396749	0.484966101518458	TauAv1
Poccilopora	24	5	0.93332707492917	0.619227803629339	TauAv1
Poccilopora	25	5	0.91407804743837	0.492480459935496	TauAv1
Poccilopora	26	10	0.79339322435411	0.0120501726058263	TauAv1
Poccilopora	28	10	0.9277099859845	0.425749178581275	TauAv1
Poccilopora	30	10	0.519685822128694	6.19259647680967e-06	TauAv1
