Comparison	Z	P.unadj	P.adj	Variable	Species
24 - 26	1.70952986427992	0.0873528446823344	1	fv_fm	Pocillopora
24 - 28	0.249706609389202	0.80281424654194	1	fv_fm	Pocillopora
26 - 28	-1.45982325489072	0.144338655601968	1	fv_fm	Pocillopora
24 - 30	0.921993634667823	0.356531895900117	1	fv_fm	Pocillopora
26 - 30	-0.787536229612098	0.430968028592394	1	fv_fm	Pocillopora
28 - 30	0.672287025278621	0.501400988094236	1	fv_fm	Pocillopora
24 - 32	1.13968657618661	0.254416901697896	1	fv_fm	Pocillopora
26 - 32	-0.569843288093307	0.568783992475013	1	fv_fm	Pocillopora
28 - 32	0.889979966797411	0.373476643094602	1	fv_fm	Pocillopora
30 - 32	0.217692941518791	0.827668363649051	1	fv_fm	Pocillopora
24 - 34	3.66236360437496	0.000249898815396587	0.00374848223094881	fv_fm	Pocillopora
26 - 34	1.95283374009504	0.0508392991342307	0.76258948701346	fv_fm	Pocillopora
28 - 34	3.41265699498576	0.00064332859233638	0.0096499288850457	fv_fm	Pocillopora
30 - 34	2.74036996970714	0.00613700599556131	0.0920550899334197	fv_fm	Pocillopora
32 - 34	2.52267702818835	0.0116465312553779	0.174697968830668	fv_fm	Pocillopora
24 - 26	-0.576454339085845	0.564308124540146	1	fv_fm	Porites
24 - 28	-0.422733181996286	0.672489943039096	1	fv_fm	Porites
26 - 28	0.153721157089559	0.877829602115778	1	fv_fm	Porites
24 - 30	-2.13288105461763	0.0329344848633021	0.494017272949531	fv_fm	Porites
26 - 30	-1.55642671553178	0.119606656551952	1	fv_fm	Porites
28 - 30	-1.71014787262134	0.0872385321562035	1	fv_fm	Porites
24 - 32	-1.0055925692942	0.31461159981296	1	fv_fm	Porites
26 - 32	-0.429138230208351	0.667822632062556	1	fv_fm	Porites
28 - 32	-0.58285938729791	0.559987962393938	1	fv_fm	Porites
30 - 32	1.12728848532343	0.259620529196453	1	fv_fm	Porites
24 - 34	-0.243391832058468	0.807701870672389	1	fv_fm	Porites
26 - 34	0.333062507027377	0.739087100198906	1	fv_fm	Porites
28 - 34	0.179341349937819	0.857669680585385	1	fv_fm	Porites
30 - 34	1.88948922255916	0.0588263055509374	0.882394583264061	fv_fm	Porites
32 - 34	0.762200737235728	0.445940206167605	1	fv_fm	Porites
24 - 26	1.65812366755957	0.0972925077049007	1	Sigma	Pocillopora
24 - 28	0.428935466125448	0.667970189202091	1	Sigma	Pocillopora
26 - 28	-1.22918820143412	0.21900125152771	1	Sigma	Pocillopora
24 - 30	-0.473749619302734	0.635678465055163	1	Sigma	Pocillopora
26 - 30	-2.1318732868623	0.0330172647914992	0.495258971872488	Sigma	Pocillopora
28 - 30	-0.902685085428182	0.36669305431462	1	Sigma	Pocillopora
24 - 32	-0.224070765886428	0.822702239584677	1	Sigma	Pocillopora
26 - 32	-1.882194433446	0.0598096211911607	0.897144317867411	Sigma	Pocillopora
28 - 32	-0.653006232011876	0.513752260850259	1	Sigma	Pocillopora
30 - 32	0.249678853416306	0.802835712889386	1	Sigma	Pocillopora
24 - 34	-0.121638415766919	0.90318538799195	1	Sigma	Pocillopora
26 - 34	-1.77976208332649	0.0751149053269775	1	Sigma	Pocillopora
28 - 34	-0.550573881892367	0.581925817174672	1	Sigma	Pocillopora
30 - 34	0.352111203535816	0.724754866566443	1	Sigma	Pocillopora
32 - 34	0.10243235011951	0.918413507028199	1	Sigma	Pocillopora
24 - 26	-1.53644255919475	0.124429875484707	1	Sigma	Porites
24 - 28	-0.64018439966448	0.522052723715288	1	Sigma	Porites
26 - 28	0.896258159530272	0.370114899917246	1	Sigma	Porites
24 - 30	-2.38148596675187	0.0172429477363329	0.258644216044994	Sigma	Porites
26 - 30	-0.845043407557113	0.398086603716326	1	Sigma	Porites
28 - 30	-1.74130156708739	0.0816307316708903	1	Sigma	Porites
24 - 32	-2.07419745491292	0.0380609765134661	0.570914647701991	Sigma	Porites
26 - 32	-0.537754895718163	0.590746274800397	1	Sigma	Porites
28 - 32	-1.43401305524844	0.151568537311294	1	Sigma	Porites
30 - 32	0.30728851183895	0.75862377919074	1	Sigma	Porites
24 - 34	-3.04727774240292	0.00230924229321791	0.0346386343982687	Sigma	Porites
26 - 34	-1.51083518320817	0.130830448249702	1	Sigma	Porites
28 - 34	-2.40709334273844	0.0160800593423693	0.241200890135539	Sigma	Porites
30 - 34	-0.66579177565106	0.505544202445145	1	Sigma	Porites
32 - 34	-0.97308028749001	0.330513400399758	1	Sigma	Porites
24 - 26	-1.6432841244396	0.100324161408083	1	p	Pocillopora
24 - 28	-0.564878917776112	0.572156124206292	1	p	Pocillopora
26 - 28	1.07840520666349	0.280852964452148	1	p	Pocillopora
24 - 30	0.539202603331744	0.589747064235873	1	p	Pocillopora
26 - 30	2.18248672777134	0.0290736297377508	0.436104446066261	p	Pocillopora
28 - 30	1.10408152110786	0.269557776403	1	p	Pocillopora
24 - 32	0.166896043888397	0.867451846011803	1	p	Pocillopora
26 - 32	1.810180168328	0.0702678519786618	1	p	Pocillopora
28 - 32	0.731774961664509	0.464305933893897	1	p	Pocillopora
30 - 32	-0.372306559443347	0.709664615379009	1	p	Pocillopora
24 - 34	-0.539202603331743	0.589747064235873	1	p	Pocillopora
26 - 34	1.10408152110786	0.269557776403	1	p	Pocillopora
28 - 34	0.0256763144443691	0.979515515962875	1	p	Pocillopora
30 - 34	-1.07840520666349	0.280852964452148	1	p	Pocillopora
32 - 34	-0.70609864722014	0.480126792929548	1	p	Pocillopora
24 - 26	0.44949877191848	0.653071893798	1	p	Porites
24 - 28	-1.08521846363176	0.277824908475133	1	p	Porites
26 - 28	-1.53471723555024	0.12485330028751	1	p	Porites
24 - 30	0.57150558143921	0.567656977979427	1	p	Porites
26 - 30	0.122006809520731	0.902893625345634	1	p	Porites
28 - 30	1.65672404507097	0.0975752793597027	1	p	Porites
24 - 32	0.359599017534784	0.719147018392827	1	p	Porites
26 - 32	-0.0898997543836959	0.928366876336564	1	p	Porites
28 - 32	1.44481748116654	0.148509159513212	1	p	Porites
30 - 32	-0.211906563904426	0.832179929631036	1	p	Porites
24 - 34	2.09337999493463	0.0363152467782471	0.544728701673706	p	Porites
26 - 34	1.64388122301615	0.100200739468316	1	p	Porites
28 - 34	3.17859845856639	0.00147988947186113	0.0221983420779169	p	Porites
30 - 34	1.52187441349542	0.128040551394422	1	p	Porites
32 - 34	1.73378097739985	0.0829569521077299	1	p	Porites
24 - 26	0.0960289940655532	0.923497545034334	1	Pmax.e.s	Pocillopora
24 - 28	-1.34440591691774	0.178817161515568	1	Pmax.e.s	Pocillopora
26 - 28	-1.4404349109833	0.149744392609146	1	Pmax.e.s	Pocillopora
24 - 30	-2.33670552226179	0.019454501209214	0.291817518138209	Pmax.e.s	Pocillopora
26 - 30	-2.43273451632735	0.0149852838020771	0.224779257031157	Pmax.e.s	Pocillopora
28 - 30	-0.992299605344049	0.321051395783789	1	Pmax.e.s	Pocillopora
24 - 32	-2.3495093881372	0.0187981700544254	0.281972550816381	Pmax.e.s	Pocillopora
26 - 32	-2.44553838220275	0.014463605263447	0.216954078951706	Pmax.e.s	Pocillopora
28 - 32	-1.00510347121946	0.314847028807298	1	Pmax.e.s	Pocillopora
30 - 32	-0.0128038658754073	0.989784272226185	1	Pmax.e.s	Pocillopora
24 - 34	-4.78224390446455	1.73349162347202e-06	2.60023743520803e-05	Pmax.e.s	Pocillopora
26 - 34	-4.8782728985301	1.07018789591271e-06	1.60528184386907e-05	Pmax.e.s	Pocillopora
28 - 34	-3.4378379875468	0.000586378420450505	0.00879567630675757	Pmax.e.s	Pocillopora
30 - 34	-2.44553838220275	0.014463605263447	0.216954078951705	Pmax.e.s	Pocillopora
32 - 34	-2.43273451632735	0.0149852838020771	0.224779257031156	Pmax.e.s	Pocillopora
24 - 26	0.217677817126407	0.827680148607555	1	Pmax.e.s	Porites
24 - 28	-0.909125000939701	0.363284147067579	1	Pmax.e.s	Porites
26 - 28	-1.12680281806611	0.2598258587842	1	Pmax.e.s	Porites
