Variable	Species	Chi_sq	df	p_value
fv_fm	Pocillopora	17.4158226792662	5	0.00377510074602126
fv_fm	Porites	5.86340601880183	5	0.319737861887154
Sigma	Pocillopora	5.91000055574078	5	0.315075013285282
Sigma	Porites	12.8288524590164	5	0.0250364967833369
p	Pocillopora	5.8686845266363	5	0.319206949865837
p	Porites	10.5337703726483	5	0.0614489523221237
Pmax.e.s	Pocillopora	33.0502625802328	5	3.67792706713071e-06
Pmax.e.s	Porites	29.4816367931082	5	1.865060286152e-05
Fm	Pocillopora	6.73857119039678	5	0.240820345001013
Fm	Porites	8.47016393442624	5	0.132157089871553
TauAv1	Pocillopora	27.0866840803624	5	5.48674621028646e-05
TauAv1	Porites	16.1384281903068	5	0.00645976972430576
