Species	Temp	statistic	p_value	Variable
Pocillopora	24	0.774698496931129	0.00713484990622528	fv_fm
Pocillopora	26	0.959268806250295	0.777503462006571	fv_fm
Pocillopora	28	0.948118237511258	0.646291691415388	fv_fm
Pocillopora	30	0.877638076807991	0.122577926009649	fv_fm
Pocillopora	32	0.944661158866284	0.605942026136899	fv_fm
Pocillopora	34	0.907695814989957	0.2655357649829	fv_fm
Porites	24	0.943287431517034	0.590138760788894	fv_fm
Porites	26	0.951782340938527	0.689614873477671	fv_fm
Porites	28	0.931435008023313	0.462154716649413	fv_fm
Porites	30	0.95499900330148	0.727693256481471	fv_fm
Porites	32	0.96624267224757	0.853992013037553	fv_fm
Porites	34	0.967597692728392	0.867721871000291	fv_fm
Pocillopora	24	0.926972321712839	0.418780815884271	Sigma
Pocillopora	26	0.927858342519666	0.427160372207401	Sigma
Pocillopora	28	0.948289422855754	0.648306639740037	Sigma
Pocillopora	30	0.906237618449081	0.256133977331873	Sigma
Pocillopora	32	0.951503190474726	0.686305592581077	Sigma
Pocillopora	34	0.879940055046341	0.130286947612233	Sigma
Porites	24	0.94862203092889	0.652225122930576	Sigma
Porites	26	0.855270590820387	0.0670923304290534	Sigma
Porites	28	0.920345842222189	0.359848389467562	Sigma
Porites	30	0.890090777277765	0.169976118122556	Sigma
Porites	32	0.949996198819209	0.668455569461524	Sigma
Porites	34	0.901829135789986	0.229437407140373	Sigma
Pocillopora	24	0.848959747593959	0.0564562661374307	p
Pocillopora	26	0.944639780141411	0.605694942437494	p
Pocillopora	28	0.860113019158669	0.0765432885855063	p
Pocillopora	30	0.964151050267371	0.831963348156093	p
Pocillopora	32	0.975303604008877	0.935200286561488	p
Pocillopora	34	0.805201775838374	0.0167691011126802	p
Porites	24	0.939029281839106	0.542263398163691	p
Porites	26	0.921584348436948	0.370358793785363	p
Porites	28	0.919036530062544	0.34898924720676	p
Porites	30	0.952449519169817	0.697524563342047	p
Porites	32	0.856431274828632	0.0692492866909902	p
Porites	34	0.890376429269676	0.171239284944039	p
Pocillopora	24	0.460394051598202	1.25249637943951e-06	Pmax.e.s
Pocillopora	26	0.970532884588049	0.895741607023742	Pmax.e.s
Pocillopora	28	0.917421948183902	0.33595379752193	Pmax.e.s
Pocillopora	30	0.858810986952736	0.0738829612131096	Pmax.e.s
Pocillopora	32	0.965227098254619	0.843414300633115	Pmax.e.s
Pocillopora	34	0.953403519487293	0.708829434570904	Pmax.e.s
Porites	24	0.564847744680256	2.11341913148321e-05	Pmax.e.s
Porites	26	0.884951650971674	0.148663155372301	Pmax.e.s
Porites	28	0.878901678025515	0.126754928506966	Pmax.e.s
Porites	30	0.942230054758134	0.578084352159526	Pmax.e.s
Porites	32	0.846385131448554	0.0526045435110432	Pmax.e.s
Porites	34	0.860293155068856	0.0769185294200262	Pmax.e.s
Pocillopora	24	0.924942266347882	0.400023095494909	Fm
Pocillopora	26	0.970087291880272	0.891653444377716	Fm
Pocillopora	28	0.908930881430516	0.27372777138326	Fm
Pocillopora	30	0.973440981822831	0.920786841161501	Fm
Pocillopora	32	0.960444592830623	0.790930239068682	Fm
Pocillopora	34	0.926724880121793	0.416461469495252	Fm
Porites	24	0.964990180599582	0.840913792212812	Fm
Porites	26	0.967012330958891	0.861847042140871	Fm
Porites	28	0.948206608128754	0.647331705610166	Fm
Porites	30	0.963005640736477	0.819525588813071	Fm
Porites	32	0.808939908756796	0.0186155196392775	Fm
Porites	34	0.923660587316439	0.388499421743592	Fm
Pocillopora	24	0.910197506890689	0.282350441021468	TauAv1
Pocillopora	26	0.801585673774111	0.0151562502782531	TauAv1
Pocillopora	28	0.932748123614588	0.475460729849903	TauAv1
Pocillopora	30	0.94425496390354	0.6012534337482	TauAv1
Pocillopora	32	0.842501762475381	0.0472746918078569	TauAv1
Pocillopora	34	0.470747914320585	1.65398869667707e-06	TauAv1
Porites	24	0.830806501324214	0.0342175037726454	TauAv1
Porites	26	0.893409622214405	0.185190013788242	TauAv1
Porites	28	0.764861830318954	0.00541433053495581	TauAv1
Porites	30	0.947158411420068	0.635019321957908	TauAv1
Porites	32	0.768612190614375	0.00601501684951246	TauAv1
Porites	34	0.722059898450373	0.0016315639701879	TauAv1
